gene_name,logFC,logCPM,F,PValue
A1BG,-0.2174570902363668,0.09899345030279572,2.385242499193234,0.13009490374055632
A1BG-AS1,0.058657645819693266,2.0244395924446437,0.4084432259902603,0.5262804895115193
A2M,0.12741473786538304,7.474942229842846,1.0080766212476866,0.3211954817928023
A2M-AS1,0.050535412300933585,0.539169536238117,0.21455713736379775,0.6456442010706216
A2ML1,-0.22127214305410312,2.0029282790731116,1.9656970353797227,0.16835757660423536
A2MP1,-0.04481095026222617,-0.5228454571002477,0.09974099426554861,0.7537270591639053
A4GALT,0.018393314238956612,1.777035561095125,0.015049851584051668,0.9029557080143242
AAAS,-0.06550620076767015,4.323541000393307,0.8288432043662689,0.3678766000413798
AACS,0.09817451209883928,6.622043841019792,2.397551140982255,0.12913519712996996
AACSP1,-0.13993693221517936,-1.5154831477744455,0.8283514381557832,0.38976309798435577
AADAT,0.007061076453897028,3.1249582106248255,0.012902118605856725,0.9101137465594205
AAGAB,0.08023130900633602,5.154136565832677,1.4496218718804377,0.23542622006572292
AAK1,0.01714113663965077,8.151246514680937,0.052904801004710046,0.8192161681089231
AAMDC,-0.2008966483312462,-0.14441312399255024,2.6201334936619833,0.11310845639862488
AAMP,0.05811264871437002,6.289633197019315,1.1146540599072432,0.2971936508538262
AANAT,0.23596743201188997,-0.6022357732995978,2.245593392063371,0.14158105764251422
AAR2,-0.04560552424195613,3.866470808095476,0.5699155897216345,0.4545650163128737
AARD,0.23762410179226812,0.5179143319335711,3.477045452571019,0.0693240670357273
AARS1,0.028148718863148844,8.305682682393575,0.17665428801227168,0.6764375648961505
AARS2,0.017819237884047916,5.064813902269778,0.03904078041825239,0.8443346602100412
AARSD1,-0.1949538232365302,0.5259488634670162,2.1333077650380066,0.15167612621082308
AASDH,-0.20241915350689366,3.341549204254665,4.856061833396545,0.0331659043031011
AASDHPPT,0.036158752675867135,5.960200655857138,0.3876763286265277,0.5369374287941757
AASS,-0.5108302312748146,2.550349204418565,14.977821870056138,3.785923418119877e-4
AATBC,-0.2601808984515952,1.5684966925550206,2.669364806266489,0.10987838981412264
AATK,-0.07872733199308937,9.044852268359975,0.1557144063705,0.6951584244348639
ABAT,0.04906870726707753,8.202764057068077,0.4923442806162675,0.4868086847493047
