Name_GeneSymbol,female
SRC,0.05195469536622806
XPO7,0.01704152182945103
PIN1,0.16072968314801037
NGRN,0.14453675693585782
CSRP1,-0.3855378357105534
FCHO1,-0.06662395984711036
SLC35F2,0.1318882813909957
AMDHD2,0.1012307643147882
PPP2R3C,0.04730441039760207
PNP,1.0802571280875009
DUSP22,-0.06155490563446878
SLC25A46,-0.09132189706736168
CAMSAP2,0.04926135757805479
ZNF589,-0.09693947039752428
SMNDC1,0.27368261891756795
MAN2B1,-0.2849864508431004
FHL2,0.23094487288467969
HYOU1,-0.03928088345668375
MBOAT7,0.1144053202677418
MKNK1,0.28874675732322025
ICAM3,0.1688281418772898
P4HTM,0.0986306954808764
CBLB,-0.12709192544549536
NFE2L2,0.07017862300315199
RAB11FIP2,0.09773712454805358
SLC35A1,0.5859317646291536
GNAI1,-0.1533851073280623
HPRT1,0.21808725409286384
PLCB3,-0.2688398632449218
ALDH7A1,-0.14022800551560788
EPN2,-0.48312269507757344
APP,-0.07096185120283172
SMARCA4,-0.00791717092520535
TIMM22,0.11469189972603262
TIMP2,-0.15076746728699122
PLA2G15,0.272576304283335
RPA3,-0.03345009033025206
NR2F6,0.1258373379954204
YTHDF1,0.3448597848566482
PPP1R13B,0.03697753191598259
KLHL9,-0.11955693119485628
COG7,0.20549746154753337
TIMM9,0.3654818814287603
HS2ST1,0.05089502976696177
HIST2H2BE,-0.04175049950721821
GOLT1B,0.12176755040056514
HADH,-0.01416868766267802
SSBP2,0.12419949822934548
VPS28,0.09816156702390888
RPN1,-0.11631703197248984
MAST2,-0.0269836377422696
WRB,0.02807647675760904
SUPV3L1,0.16291711293072325
NMT1,0.2315653080221818
CCNA2,0.5638809344246405
PIK3R3,0.3865001511962327
ABL1,-0.25150303551096875
TOPBP1,-0.0038513522171367
IFNAR1,0.04335976635680113
CDC20,-0.5831039012054186
MEST,0.1537580260747998
LSM5,-0.02784024542603493
CDK4,-0.01764804620816544
S100A4,-0.6518101853082044
YKT6,0.12589524290596749
HLA-DMA,-0.02664571046249992
PHKG2,0.3107802369744933
PPARD,0.00282099464896778
DNAJA3,0.12879582732959627
CASP3,-0.1816944012305668
NUDT9,0.09246955587484122
CTSD,0.21069175349746713
TMEM2,0.08109325400889263
WDTC1,0.01608270011380797
MOK,0.17630552709030003
EAPP,0.19884442794299928
FAH,-0.19988507274465503
KIAA0100,-0.11165784989664714
CETN3,0.01376247823101336
HMGCS1,0.2349885309280217
CDC42,-0.04355565309280169
GLRX,0.769645249909921
MFSD10,0.1860438100009998
PAPD7,0.09882928089467388
PRUNE,0.03231652078091863
TSPAN6,-0.201031259388882
PAICS,-0.01601063474623397
GTPBP8,-0.17333433550562025
TGFB3,0.5293968464399903
ANXA7,0.13875962614138035
PRKAG2,0.06902816106776079
MCOLN1,-0.06439450975526399
SDHB,0.16107478725098243
LGALS8,0.22010739967262263
GPER1,-0.13699089470528572
MYCBP,0.17346017554710175
SLC1A4,-0.22694342614023028
GFPT1,0.01664039693387446
KDM5A,-0.01775053169017615
NOTCH1,-0.470693007975795
LAP3,0.14777591423915404
ST3GAL5,-0.09923646198336902
PRR7,0.01787163960247162
RPIA,0.01967388312968217
EDN1,1.3107182287974517
RPL39L,0.07562199549623977
CAB39,0.0636910642110563
TESK1,0.05176823201051196
THAP11,0.06897355068716321
HMG20B,-0.01911452296845002
SHB,0.44106234135802685
PLEKHM1,0.02521316610075598
HACD3,-0.03313820704296873
ABHD6,-0.31893540471395904
MCUR1,0.1684201733416889
PTK2B,0.24938995369014544
CSNK1E,0.04187703611062066
PPOX,0.01125633729926504
IKBKB,-0.22628711341092733
DNMT3A,-0.3967524760507915
CTNND1,-0.1598020353897991
CCNH,-0.03657387427986879
PCNA,-0.07686995097993125
TBP,0.08051873528678019
FZD1,-0.552213576151597
HIF1A,0.24632747356604137
MRPS16,-0.04274036331894206
LRRC16A,-0.2949756034671419
MAPK1IP1L,0.05445818562780284
MBTPS1,-0.01371803495954244
ASAH1,-0.01271696942183472
PIK3CA,-0.24800852250103267
MYCBP2,0.05126694400562739
FBXL12,0.0736112987086945
FUT1,0.04827381192402399
PLA2G4A,0.21846942154096724
SORBS3,-0.1551908205598699
TMEM5,0.09572002782043358
LYRM1,0.23586028698081724
RELB,0.26143295729383503
DMTF1,0.00624678539862577
PSMF1,0.0623540386284354
EPHA3,-0.2063972665763935
EVL,0.2427762878192988
SFN,4.193149119490292
SH3BP5,-0.08345723424012115
CHMP4A,0.5861580884994574
RBM6,0.19594112942189035
PSME1,0.09644565354480872
LRP10,-0.07777827213426229
WDR61,0.36726017221575114
CRYZ,0.2546462131143095
ALAS1,0.3518703688424878
DNAJB1,1.7926319386243708
CALM3,0.196327531911361
ADCK3,0.1433975929700708
TRAPPC6A,0.00411852635562759
TBPL1,0.248496551061425
MEF2C,0.20421344758769583
PAFAH1B1,-0.06749854724221178
TNFRSF21,0.09564996555332536
IARS2,-0.02712670467964628
FAM20B,0.10278597092347327
TMEM50A,-0.14218306885267726
STK10,-0.13587667072838694
COASY,0.13938444894302204
NR1H2,-0.09233929210698974
SCYL3,-0.18979287343837603
HERC6,-0.08968117184012953
CDCA4,0.22791156769079576
SLC35A3,-0.1187198035111621
PSMD2,0.16832535795474057
IL4R,1.2379460252316017
SYK,-0.4376669094464205
CYCS,0.22371052260087992
VAV3,-0.5139127651186047
GNA11,-0.0788564798590415
RRP8,-0.11122670988428364
ATMIN,-0.027773087583395
PLK1,0.8679027187011457
NFATC3,0.1848173131055818
CXCR4,0.5079630846948275
