"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Starch and sucrose metabolism","7/53","2.176946892698341E-17","5.4423672317458527E-16","0","0","1517.554347826087","58222.525306338546","PYGB;G6PC2;G6PC;PGM2;PYGM;PYGL;PGM1","Glycogenolysis","bioplanet"
"2","Carbohydrate metabolism","8/235","2.8721724232465877E-15","3.5902155290582349E-14","0","0","696.52863436123346","23322.361204302666","PYGB;G6PC2;G6PC;G6PC3;PGM2;PYGM;PYGL;PGM1","Glycogenolysis","bioplanet"
"3","Glycogen breakdown (glycogenolysis)","5/14","9.4452898627987421E-15","7.8710748856656196E-14","0","0","2775.2777777777778","89622.767418594027","PYGB;PGM2;PYGM;PYGL;PGM1","Glycogenolysis","bioplanet"
"4","Glucose metabolism","5/61","2.7854295586870667E-11","1.7408934741794167E-10","0","0","444.97767857142856","10814.75259424178","PYGB;PGM2;PYGM;PYGL;PGM1","Glycogenolysis","bioplanet"
"5","Galactose metabolism","4/26","2.8133315273480518E-10","1.4066657636740259E-9","0","0","726.14545454545453","15969.01436766058","G6PC2;G6PC;PGM2;PGM1","Glycogenolysis","bioplanet"
"6","Glycogen metabolism","4/36","1.1063035843581148E-9","4.609598268158812E-9","0","0","498.97500000000002","10289.982943950805","PYGB;PYGM;PYGL;PGM1","Glycogenolysis","bioplanet"
"7","Glycolysis and gluconeogenesis","4/75","2.265107375482483E-8","8.0896691981517259E-8","0","0","224.45070422535213","3951.0188947443371","G6PC2;G6PC;PGM2;PGM1","Glycogenolysis","bioplanet"
"8","Insulin signaling pathway","5/277","5.9185842983755613E-8","1.849557593242363E-7","0","0","90.62040441176471","1508.1576438230959","PYGB;G6PC2;G6PC;PYGM;PYGL","Glycogenolysis","bioplanet"
"9","Glucuronidation","3/27","1.832884740960949E-7","5.091346502669303E-7","0","0","415.97916666666669","6452.7539277277237","PGM2;PGM5;PGM1","Glycogenolysis","bioplanet"
"10","Hexose transport","3/42","7.1695557771327255E-7","1.7923889442831814E-6","0","0","255.7948717948718","3619.0502947040868","G6PC2;G6PC;G6PC3","Glycogenolysis","bioplanet"
"11","Glycogen biosynthesis","2/8","5.0328413188770481E-6","1.1438275724720565E-5","0","0","951.66666666666663","11609.882108963659","PGM2;PGM1","Glycogenolysis","bioplanet"
"12","G alpha s pathway","3/120","1.723404001719666E-5","3.5904250035826381E-5","0","0","84.931623931623932","931.58305363978468","PYGB;PYGM;PYGL","Glycogenolysis","bioplanet"
"13","Pentose phosphate pathway","2/27","6.2812729266017238E-5","1.2079371012695623E-4","0","0","228.18285714285713","2207.7496479850938","PGM2;PGM1","Glycogenolysis","bioplanet"
"14","SLC-mediated transmembrane transport","3/251","1.5514452393491996E-4","2.7704379274092849E-4","0","0","39.804435483870968","349.13081213664407","G6PC2;G6PC;G6PC3","Glycogenolysis","bioplanet"
"15","Amino sugar and nucleotide sugar metabolism","2/45","1.7642278783867052E-4","2.9403797973111755E-4","0","0","132.54485049833886","1145.5357354354971","PGM2;PGM1","Glycogenolysis","bioplanet"
"16","Metabolism","5/1615","3.2607353199595604E-4","5.0948989374368129E-4","0","0","14.270962732919255","114.57282086955985","G6PC2;G6PC;G6PC3;PGM2;PGM1","Glycogenolysis","bioplanet"
"17","Adipocytokine signaling pathway","2/67","3.9199458726740105E-4","5.7646262833441339E-4","0","0","87.586813186813188","687.05395647589478","G6PC2;G6PC","Glycogenolysis","bioplanet"
"18","Transmembrane transport of small molecules","3/432","7.6298796329304973E-4","1.0597055045736801E-3","0","0","22.799533799533801","163.66117078052136","G6PC2;G6PC;G6PC3","Glycogenolysis","bioplanet"
"19","Purine metabolism","2/164","2.31663232637735E-3","3.0482004294438815E-3","0","0","34.971781305114639","212.19620469407434","PGM2;PGM1","Glycogenolysis","bioplanet"
"20","HNF3B pathway","1/45","2.0072530463390581E-2","2.5090663079238226E-2","0","0","56.667613636363633","221.47987353276542","G6PC","Glycogenolysis","bioplanet"
"21","FoxO family signaling","1/49","2.1839307484116888E-2","2.5999175576329629E-2","0","0","51.934895833333336","198.60131834764672","G6PC","Glycogenolysis","bioplanet"
"22","PI3K pathway","1/53","2.3603252767760232E-2","2.6821878145182085E-2","0","0","47.93028846153846","179.56463060223416","G6PC","Glycogenolysis","bioplanet"
"23","HIF-1 transcriptional activity in hypoxia","1/66","2.9316565848365818E-2","3.1865832443875884E-2","0","0","38.319230769230771","135.25165407819361","PGM1","Glycogenolysis","bioplanet"
"24","ATM-dependent DNA damage response","1/82","3.6307532410312794E-2","3.7820346260742495E-2","0","0","30.72530864197531","101.87682930785095","G6PC","Glycogenolysis","bioplanet"
"25","TNF-alpha signaling pathway","1/101","4.4551152729863527E-2","4.4551152729863527E-2","0","0","24.86375","77.354041535408541","PYGL","Glycogenolysis","bioplanet"
