"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Pentose phosphate pathway","6/27","2.7901319252241942E-16","6.1382902354932272E-15","0","0","1901.9047619047619","68117.23752238194","RPIA;G6PD;RPE;TALDO1;TKT;PGD","Gluconeogenesis","bioplanet"
"2","Carbohydrate metabolism","6/235","2.0134329068949032E-10","2.2147761975843937E-9","0","0","172.5938864628821","3853.3327921018458","RPIA;G6PD;RPE;TALDO1;TKT;PGD","Gluconeogenesis","bioplanet"
"3","Glutathione metabolism","4/51","4.6794552389320608E-9","3.4316005085501775E-8","0","0","339.47234042553191","6511.1080511147711","G6PD;GPX1;GSR;PGD","Gluconeogenesis","bioplanet"
"4","Metabolism","8/1615","1.4865748933755274E-8","8.1761619135654003E-8","0","0","91.519601742377105","1649.5681547883164","RPIA;G6PD;GPX1;RPE;GSR;TALDO1;TKT;PGD","Gluconeogenesis","bioplanet"
"5","Free radical-induced apoptosis","2/10","8.0847637609619041E-6","3.5572960548232382E-5","0","0","713.67857142857144","8368.2589892095857","GPX1;GSR","Gluconeogenesis","bioplanet"
"6","Sulfation biotransformation reaction","2/17","2.4394349832130377E-5","8.9445949384478051E-5","0","0","380.49523809523811","4041.3004289208102","G6PD;GSR","Gluconeogenesis","bioplanet"
"7","Nucleotide metabolism","2/70","4.2786277535055014E-4","1.3447115796731575E-3","0","0","83.710084033613441","649.31468119392071","GPX1;GSR","Gluconeogenesis","bioplanet"
"8","Integration of energy metabolism","2/125","1.3555434918531971E-3","3.7277446025962922E-3","0","0","46.150987224157959","304.76048109474726","TALDO1;TKT","Gluconeogenesis","bioplanet"
"9","Purine catabolism","1/10","4.4918441075108293E-3","1.08680944304791E-2","0","0","277.52777777777777","1500.1741678966396","GPX1","Gluconeogenesis","bioplanet"
"10","Cardiac protection against reactive oxygen species","1/11","4.9400429229450454E-3","1.08680944304791E-2","0","0","249.76249999999999","1326.3340991921912","GPX1","Gluconeogenesis","bioplanet"
"11","Nucleotide di- and triphosphate biosynthesis and interconversion","1/18","8.0724193100501513E-3","1.6144838620100303E-2","0","0","146.86764705882354","707.79955270198946","GSR","Gluconeogenesis","bioplanet"
"12","Oxidative stress","1/27","1.2086885938503104E-2","2.1961121811004677E-2","0","0","95.98557692307692","423.83719817033131","GSR","Gluconeogenesis","bioplanet"
"13","Pentose and glucuronate interconversions","1/29","1.2977026524684581E-2","2.1961121811004677E-2","0","0","89.120535714285708","387.19082250922293","RPE","Gluconeogenesis","bioplanet"
"14","Amyotrophic lateral sclerosis (ALS)","1/53","2.3603252767760232E-2","3.6689613117505765E-2","0","0","47.93028846153846","179.56463060223416","GPX1","Gluconeogenesis","bioplanet"
"15","Arachidonic acid metabolism","1/58","2.580420824342157E-2","3.6689613117505765E-2","0","0","43.714912280701753","159.87495051613905","GPX1","Gluconeogenesis","bioplanet"
"16","Selenium pathway","1/60","2.6683354994549647E-2","3.6689613117505765E-2","0","0","42.228813559322035","153.02519848914329","GSR","Gluconeogenesis","bioplanet"
"17","TNF-alpha effects on cytokine activity, cell motility, and apoptosis","1/135","5.914658048384825E-2","7.4372946104612328E-2","0","0","18.523320895522389","52.379070618835193","GPX1","Gluconeogenesis","bioplanet"
"18","p53 signaling pathway","1/139","6.0850592267410082E-2","7.4372946104612328E-2","0","0","17.982789855072465","50.339830135348393","GPX1","Gluconeogenesis","bioplanet"
"19","Purine metabolism","1/164","7.1438655209091761E-2","8.2718442873685197E-2","0","0","15.205521472392638","40.126096435870053","GPX1","Gluconeogenesis","bioplanet"
"20","Metapathway biotransformation","1/174","7.564408105928605E-2","8.3208489165214658E-2","0","0","14.319364161849711","36.968532753958556","GSR","Gluconeogenesis","bioplanet"
"21","Huntington's disease","1/184","7.9832568626939979E-2","8.3634119513937122E-2","0","0","13.530054644808743","34.201593194349968","GPX1","Gluconeogenesis","bioplanet"
"22","TGF-beta regulation of extracellular matrix","1/565","0.22737553151715231","0.22737553151715231","0","0","4.3056294326241131","6.3772929565534495","G6PD","Gluconeogenesis","bioplanet"
