"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Amino acid metabolism","5/195","4.9819439251313996E-10","8.5054000702145489E-9","0","0","521.15789473684208","11163.218140591824","OAT;CKM;GOT2;CKB;AZIN1","Various-Metabolites","bioplanet"
"2","Arginine and proline metabolism","4/54","7.0878333918454581E-10","8.5054000702145489E-9","0","0","797.76","16806.785842524689","OAT;CKM;GOT2;CKB","Various-Metabolites","bioplanet"
"3","Urea cycle and metabolism of amino groups","3/20","1.7067267107713721E-8","1.3653813686170977E-7","0","0","1175.1176470588234","21018.275756672261","OAT;CKM;CKB","Various-Metabolites","bioplanet"
"4","Creatine metabolism","2/7","1.5738947571499837E-6","9.4433685428999019E-6","0","0","1998.9","26709.216394028259","CKM;CKB","Various-Metabolites","bioplanet"
"5","Amino acid biosynthesis and interconversion (transamination)","2/16","8.9830804443484569E-6","4.3118786132872594E-5","0","0","713.57142857142856","8291.8196663431772","OAT;GOT2","Various-Metabolites","bioplanet"
"6","Metabolism","5/1615","1.9107313964759392E-5","7.6429255859037566E-5","0","0","57.093167701863351","620.34235188423656","OAT;CKM;GOT2;CKB;AZIN1","Various-Metabolites","bioplanet"
"7","TSH regulation of gene expression","2/97","3.4480635511841256E-4","1.1821932175488431E-3","0","0","104.73157894736842","834.9754024954899","CKM;CKB","Various-Metabolites","bioplanet"
"8","Phenylalanine, tyrosine and tryptophan biosynthesis","1/5","1.4992198216206949E-3","4.4976594648620848E-3","0","0","999.5","6499.5590198897235","GOT2","Various-Metabolites","bioplanet"
"9","SARS coronavirus protease","1/7","2.0983872819732461E-3","5.5956994185953225E-3","0","0","666.26666666666665","4108.5908256912071","CKM","Various-Metabolites","bioplanet"
"10","Alanine and aspartate metabolism","1/12","3.5949984464796287E-3","8.6279962715511086E-3","0","0","363.32727272727271","2044.8828145385057","GOT2","Various-Metabolites","bioplanet"
"11","Phenylalanine metabolism","1/17","5.0897414535705718E-3","1.1104890444153973E-2","0","0","249.72499999999999","1318.6799159042428","GOT2","Various-Metabolites","bioplanet"
"12","Gluconeogenesis","1/31","9.2650922497144687E-3","1.7413557840922831E-2","0","0","133.09333333333333","623.07663464879147","GOT2","Various-Metabolites","bioplanet"
"13","Alanine, aspartate and glutamate metabolism","1/32","9.5627722512654691E-3","1.7413557840922831E-2","0","0","128.79354838709676","598.87423689504419","GOT2","Various-Metabolites","bioplanet"
"14","Cysteine and methionine metabolism","1/34","1.0157908740538318E-2","1.7413557840922831E-2","0","0","120.97575757575757","555.21856489644506","GOT2","Various-Metabolites","bioplanet"
"15","Tyrosine metabolism","1/41","1.2238541027235605E-2","1.9581665643576968E-2","0","0","99.77","439.30379261496881","GOT2","Various-Metabolites","bioplanet"
"16","Diurnally regulated genes with circadian orthologs","1/48","1.4315528554342706E-2","2.147329283151406E-2","0","0","84.88085106382978","360.43893024633047","AZIN1","Various-Metabolites","bioplanet"
"17","Licensing factor removal from origins","1/61","1.8163138081236239E-2","2.3567582282195763E-2","0","0","66.446666666666673","266.34223514766154","AZIN1","Various-Metabolites","bioplanet"
"18","Glucose metabolism","1/61","1.8163138081236239E-2","2.3567582282195763E-2","0","0","66.446666666666673","266.34223514766154","GOT2","Various-Metabolites","bioplanet"
"19","Ubiquitin-mediated degradation of phosphorylated Cdc25A","1/64","1.9049268540735301E-2","2.3567582282195763E-2","0","0","63.273015873015872","250.60711544601855","AZIN1","Various-Metabolites","bioplanet"
"20","Retinoblastoma protein regulation","1/66","1.9639651901829803E-2","2.3567582282195763E-2","0","0","61.32","241.0001522133395","CKM","Various-Metabolites","bioplanet"
"21","Glycolysis and gluconeogenesis","1/75","2.2292714638201434E-2","2.5477388157944494E-2","0","0","53.837837837837839","204.77196596351359","GOT2","Various-Metabolites","bioplanet"
"22","Carbohydrate metabolism","1/235","6.846925989620635E-2","7.4693738068588741E-2","0","0","16.888888888888889","45.285366672402631","GOT2","Various-Metabolites","bioplanet"
"23","Oncostatin M","1/311","8.9757774410979985E-2","9.3660286341892149E-2","0","0","12.699354838709677","30.61358077948114","CKM","Various-Metabolites","bioplanet"
"24","TGF-beta regulation of extracellular matrix","1/565","0.1579885090436732","0.1579885090436732","0","0","6.8900709219858154","12.71378607340954","CKB","Various-Metabolites","bioplanet"
