"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Respiratory electron transport, ATP biosynthesis by chemiosmotic coupling, and heat production by uncoupling proteins","8/81","8.2830410778319549E-18","7.1245347044065574E-17","0","0","727.52511415525112","28615.25168418224","ATP5B;ATP5E;ATP5D;ATP5A1;ATP5C1;UQCR10;ATP5O;SDHA","ETC","bioplanet"
"2","Chemiosmotic coupling formation of ATP","6/13","8.9056683805081968E-18","7.1245347044065574E-17","0","0","3425.4857142857145","134484.0337504051","ATP5B;ATP5E;ATP5D;ATP5A1;ATP5C1;ATP5O","ETC","bioplanet"
"3","Electron transport chain","8/105","7.1577598551653767E-17","3.8174719227548674E-16","0","0","546.85910652920961","20329.897166115032","ATP5B;ATP5E;ATP5D;ATP5A1;ATP5C1;UQCR10;ATP5O;SDHA","ETC","bioplanet"
"4","Tricarboxylic acid (TCA) cycle and respiratory electron transport","8/117","1.7478670057965793E-16","6.9914680231863172E-16","0","0","486.36085626911313","17646.614069931769","ATP5B;ATP5E;ATP5D;ATP5A1;ATP5C1;UQCR10;ATP5O;SDHA","ETC","bioplanet"
"5","Parkinson's disease","8/131","4.4255639930465273E-16","1.4161804777748888E-15","0","0","430.69918699186991","15226.923449022803","ATP5B;ATP5E;ATP5D;ATP5A1;ATP5C1;UQCR10;ATP5O;SDHA","ETC","bioplanet"
"6","Oxidative phosphorylation","8/136","6.0168469933142805E-16","1.6044925315504747E-15","0","0","413.77083333333331","14501.342864214073","ATP5B;ATP5E;ATP5D;ATP5A1;ATP5C1;UQCR10;ATP5O;SDHA","ETC","bioplanet"
"7","Alzheimer's disease","8/169","3.5506985213086384E-15","8.1158823344197439E-15","0","0","328.41407867494826","10926.872383812277","ATP5B;ATP5E;ATP5D;ATP5A1;ATP5C1;UQCR10;ATP5O;SDHA","ETC","bioplanet"
"8","Huntington's disease","8/184","7.0947088466880447E-15","1.4189417693376089E-14","0","0","300.19696969696969","9780.2452963520664","ATP5B;ATP5E;ATP5D;ATP5A1;ATP5C1;UQCR10;ATP5O;SDHA","ETC","bioplanet"
"9","Metabolism","8/1615","2.3504389542987437E-7","4.1785581409755439E-7","0","0","30.503215100601533","465.58562697834469","ATP5B;ATP5E;ATP5D;ATP5A1;ATP5C1;UQCR10;ATP5O;SDHA","ETC","bioplanet"
"10","Electron transport reaction in mitochondria","2/10","1.2345191962977191E-5","1.9752307140763506E-5","0","0","555.02777777777783","6273.0593076335972","ATP5A1;SDHA","ETC","bioplanet"
"11","Mitochondrial protein import","2/52","3.5922676978951407E-4","5.225116651483841E-4","0","0","88.617777777777775","702.8769289105478","ATP5B;ATP5A1","ETC","bioplanet"
"12","Tricarboxylic acid (TCA) cycle","1/39","2.1247185233602552E-2","2.681421400882213E-2","0","0","52.502631578947366","202.21550533647789","SDHA","ETC","bioplanet"
"13","Pyruvate metabolism and citric acid (TCA) cycle","1/40","2.178654888216798E-2","2.681421400882213E-2","0","0","51.153846153846153","195.73827523435421","SDHA","ETC","bioplanet"
"14","Protein metabolism","2/442","2.3488327786283323E-2","2.6843803184323795E-2","0","0","9.8732323232323225","37.036979252362322","ATP5B;ATP5A1","ETC","bioplanet"
"15","T cell receptor regulation of apoptosis","2/603","4.1681376658134324E-2","4.3140824994698262E-2","0","0","7.1687927528193756","22.780278844586391","ATP5D;ATP5C1","ETC","bioplanet"
"16","Cardiac muscle contraction","1/80","4.3140824994698262E-2","4.3140824994698262E-2","0","0","25.202531645569621","79.218752651351863","UQCR10","ETC","bioplanet"
