"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Fatty acid beta-oxidation WP143","8/34","2.8599320165720318E-23","6.005857234801267E-22","0","0","159728","8291266.3302334575","CPT1A;ACADVL;ECHS1;CPT2;ACADL;ACSL1;ACSL3;ACADS","FA-Oxidation","wikipathways"
"2","Mitochondrial LC-Fatty Acid Beta-Oxidation WP368","7/17","6.1229028057808718E-22","6.4290479460699157E-21","0","0","13987.4","683212.25552935491","CPT1A;ACADVL;CPT2;ACADL;ACSL1;ACSL3;ACADS","FA-Oxidation","wikipathways"
"3","PPAR signaling pathway WP3942","5/67","2.0128490551944196E-11","1.4089943386360936E-10","0","0","535.75268817204301","13194.991272615236","CPT1A;CPT2;ACADL;ACSL1;ACSL3","FA-Oxidation","wikipathways"
"4","Thermogenesis WP4321","4/108","5.534919061773268E-8","2.7069464710162031E-7","0","0","191.23076923076923","3195.390388384536","CPT1A;CPT2;ACSL1;ACSL3","FA-Oxidation","wikipathways"
"5","Fatty Acid Biosynthesis WP357","3/22","6.4451106452766731E-8","2.7069464710162031E-7","0","0","630.72631578947369","10443.162003489322","ECHS1;ACSL1;ACSL3","FA-Oxidation","wikipathways"
"6","Omega-3/Omega-6 FA synthesis WP4723","2/14","1.270931618352025E-5","3.8127948550560753E-5","0","0","555","6256.6122779936395","ACSL1;ACSL3","FA-Oxidation","wikipathways"
"7","Omega-9 FA synthesis WP4724","2/14","1.270931618352025E-5","3.8127948550560753E-5","0","0","555","6256.6122779936395","ACSL1;ACSL3","FA-Oxidation","wikipathways"
"8","Fatty acid transporters WP5061","2/18","2.1351432280008236E-5","5.6047509735021622E-5","0","0","416.16666666666669","4475.619360309719","ACSL1;ACSL3","FA-Oxidation","wikipathways"
"9","PPAR-alpha pathway WP2878","2/26","4.5282143274541853E-5","1.0565833430726432E-4","0","0","277.33333333333331","2774.0537874782267","CPT1A;CPT2","FA-Oxidation","wikipathways"
"10","Ferroptosis WP4313","2/40","1.0837395249617636E-4","2.2758530024197038E-4","0","0","175.03508771929825","1598.0568361483106","ACSL1;ACSL3","FA-Oxidation","wikipathways"
"11","Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4718","2/46","1.4363165889914778E-4","2.7420589426200941E-4","0","0","151.12121212121212","1337.159543603372","ACSL1;ACSL3","FA-Oxidation","wikipathways"
"12","Ciliary landscape WP4352","2/216","3.1145036099737853E-3","5.1628202638811472E-3","0","0","30.806853582554517","177.80746994389892","ECHS1;ACSL3","FA-Oxidation","wikipathways"
"13","Ketogenesis and Ketolysis WP4742","1/8","3.1960315919264243E-3","5.1628202638811472E-3","0","0","407.85714285714283","2343.4840743955892","CPT2","FA-Oxidation","wikipathways"
"14","Leptin and adiponectin WP3934","1/10","3.9936462613403625E-3","5.9904693920105438E-3","0","0","317.1904761904762","1751.8590547314027","CPT1A","FA-Oxidation","wikipathways"
"15","IL-18 signaling pathway WP4754","2/272","4.8882840152581755E-3","6.8435976213614448E-3","0","0","24.348148148148148","129.55440124056366","CPT1A;ACADS","FA-Oxidation","wikipathways"
"16","Nuclear Receptors Meta-Pathway WP2882","2/319","6.664061415446774E-3","8.7465806077738906E-3","0","0","20.68874868559411","103.671860843041","CPT1A;CPT2","FA-Oxidation","wikipathways"
"17","Tryptophan metabolism WP465","1/42","1.6679797556906864E-2","2.0604455805590834E-2","0","0","69.515679442508713","284.56639751252425","ECHS1","FA-Oxidation","wikipathways"
"18","AMP-activated protein kinase (AMPK) signaling WP1403","1/69","2.7273557473830964E-2","3.1819150386136127E-2","0","0","41.857142857142854","150.7626325151401","CPT1A","FA-Oxidation","wikipathways"
"19","Fragile X Syndrome  WP4549","1/121","4.7395325572656036E-2","5.2384307211882995E-2","0","0","23.657142857142858","72.13610926322491","CPT1A","FA-Oxidation","wikipathways"
"20","Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706","1/158","6.1490064457543681E-2","6.4564567680420862E-2","0","0","18.048225659690626","50.334329635540946","CPT1A","FA-Oxidation","wikipathways"
"21","Circadian rhythm related genes WP3594","1/201","7.7640891627719144E-2","7.7640891627719144E-2","0","0","14.137142857142857","36.129745169116553","CPT1A","FA-Oxidation","wikipathways"
