ID,gene_name,logFC,PValue,t,B
229951_x_at,,0.402,0.000037,5.29441398,-0.716
220370_s_at,USP36,0.62,0.0000689,5.01900117,-0.951
220936_s_at,H2AFJ,0.428,0.0000696,5.01482447,-0.955
1564139_at,A2M-AS1,0.438,0.0000718,5.00131456,-0.967
1558444_at,,-0.9,0.0000857,-4.92351138,-1.035
205229_s_at,COCH,-0.453,0.0001165,-4.78915768,-1.156
242255_at,WDR37,0.565,0.0001186,4.78161739,-1.163
201506_at,TGFBI,-0.572,0.0001263,-4.75417649,-1.188
217869_at,HSD17B12,0.325,0.0001808,4.59822916,-1.331
266_s_at,CD24,-0.74,0.0002002,-4.55403544,-1.373
236756_at,CENPVL2///CENPVL1,-0.376,0.0002118,-4.52971126,-1.396
1553989_a_at,ATP6V1C2,-0.273,0.0002232,-4.5068564,-1.417
203932_at,HLA-DMB,-0.432,0.000235,-4.48468169,-1.438
222242_s_at,KLK5,-0.569,0.0002566,-4.44661676,-1.474
215193_x_at,LOC101060835///LOC100996809///HLA-DRB4///HLA-DRB3///HLA-DRB1///HLA-DQB1,-0.766,0.0003329,-4.33416339,-1.582
238779_at,DCP2,-0.38,0.0003763,-4.28132946,-1.633
220358_at,BATF3,-0.336,0.0003763,-4.28129953,-1.633
223854_at,PCDHB9///PCDHB10,0.307,0.0004018,4.25296424,-1.661
225476_at,GPANK1,-0.335,0.0004418,-4.21205194,-1.701
1294_at,MIR5193///UBA7,-0.29,0.0004599,-4.19481526,-1.718
204670_x_at,LOC100996809///HLA-DRB4///HLA-DRB1,-0.544,0.0004925,-4.16527552,-1.747
204221_x_at,GLIPR1,-0.346,0.0005262,-4.13674234,-1.775
233990_at,SMG9,-0.305,0.0005318,-4.13217649,-1.78
238340_at,DCAF8,-0.335,0.0005385,-4.12681598,-1.785
208650_s_at,CD24,-0.726,0.000541,-4.1248053,-1.787
237397_at,,-0.339,0.000541,-4.12478998,-1.787
1570373_at,ZNF746,-0.305,0.0005413,-4.12451576,-1.787
209700_x_at,PDE4DIP,0.361,0.0005552,4.1135981,-1.798
