ID,gene_name,logFC,PValue,t,B
213661_at,PAMR1,-0.49136219,0.000026,-5.6037622,-0.363
214711_at,GATC,0.51602424,0.000134,4.8369567,-1.015
1569040_s_at,ANKRD36BP2,-0.36092934,0.000227,-4.5948992,-1.24
240421_x_at,SAV1,0.31182941,0.000229,4.5901673,-1.244
233577_at,,0.2656873,0.000238,4.5725266,-1.261
1566916_at,HPYR1,0.3403128,0.000258,4.5368037,-1.295
237415_at,,0.27816334,0.000263,4.5279453,-1.303
229290_at,DAPL1,0.30275219,0.000263,4.5271799,-1.304
1561467_at,,0.29121078,0.000265,4.5241131,-1.307
234499_at,,0.27742015,0.000293,4.4791451,-1.35
224442_at,PHF6,0.24842386,0.000301,4.4661852,-1.363
230733_at,,0.46857812,0.00034,4.4105303,-1.416
210454_s_at,KCNJ6,0.36811963,0.000407,4.3298239,-1.495
221084_at,HTR3B,0.24136266,0.00045,4.284637,-1.54
217478_s_at,HLA-DMA,-0.52685145,0.000453,-4.2814371,-1.543
240458_at,,-0.27558646,0.000459,-4.2756473,-1.549
240732_at,,0.27899669,0.000466,4.2685273,-1.556
240343_at,,0.24178704,0.000495,4.2412326,-1.583
239302_s_at,LOC100506922,-0.61477296,0.00052,-4.2186374,-1.605
207160_at,IL12A,0.36835564,0.000555,4.189821,-1.634
229041_s_at,ITGB2-AS1,-0.45121924,0.000595,-4.1582565,-1.666
229476_s_at,THRSP,0.31218872,0.000595,4.1579305,-1.666
220204_s_at,BMP8A,0.34122821,0.000624,4.1367919,-1.687
238482_at,KLF7,0.30161496,0.000638,4.1265138,-1.698
208187_s_at,,0.2658583,0.000706,4.0809393,-1.744
206828_at,TXK,0.22660846,0.000749,4.0542105,-1.771
207217_s_at,NOX1,0.24518596,0.000759,4.0482545,-1.777
223563_at,GNB1L,0.1983965,0.000772,4.0408102,-1.784
243376_at,TANK,0.29945612,0.000779,4.0367757,-1.789
206295_at,IL18,-0.32558451,0.000787,-4.0321452,-1.793
231036_at,LOC100505774,0.25506368,0.000805,4.0222147,-1.803
1557658_at,,0.2120457,0.000817,4.0155827,-1.81
216466_at,NAV3,-0.39308005,0.000924,-3.9600056,-1.867
226733_at,PFKFB2,-0.34977263,0.001004,-3.9228726,-1.905
234798_x_at,,0.22855238,0.001012,3.9192869,-1.909
225896_at,MPRIP,-0.31258922,0.001099,-3.8818293,-1.948
1565152_at,LOC102724250,0.2110417,0.001146,3.8632668,-1.967
211106_at,SUPT3H,0.29816545,0.001176,3.8516184,-1.979
