ID,gene_name,logFC,PValue,t,B
242828_at,FIGN,0.343,0.00000649,5.73760521,3.034397
213809_x_at,TCF3,-0.309,0.00002461,-5.2057764,2.044526
230363_s_at,INPP5F,0.356,0.00003292,5.09071932,1.825553
216432_at,SLC28A2,-0.388,0.00004215,-4.99314598,1.638689
1560513_at,LOC400568,-0.287,0.00004836,-4.93899414,1.534549
242264_at,,0.268,0.00005284,4.90413751,1.467361
235510_at,USHBP1,-0.323,0.00005424,-4.89384689,1.447502
1553269_at,ZNF718,0.723,0.00005655,4.87742993,1.415801
204856_at,B3GNT3,-0.276,0.00006892,-4.79959261,1.265158
236463_at,ADAD2,-0.28,0.00008199,-4.73131342,1.132581
207447_s_at,MGAT4C,0.409,0.0000979,4.66159418,0.996824
224793_s_at,TGFBR1,0.395,0.00010224,4.6445676,0.963615
1561100_at,,-0.237,0.00010668,-4.62786866,0.931026
225579_at,PQLC3,0.389,0.00011022,4.61501748,0.905932
234888_at,CACHD1,-0.262,0.00011371,-4.60279956,0.882065
201610_at,ICMT,-0.259,0.00011611,-4.59457622,0.865995
1553427_at,ADAMTS15,-0.26,0.00012302,-4.57187756,0.821616
230606_at,LOC100287525,-0.33,0.0001269,-4.55966751,0.79773
238388_x_at,,-0.262,0.00013579,-4.53308823,0.745703
224117_at,LOC284912///MB,-0.307,0.00014669,-4.5027388,0.686247
219294_at,CENPQ,0.365,0.0001468,4.50246613,0.685712
230627_at,,-0.263,0.00016084,-4.46656503,0.615314
229431_at,RFXAP,0.331,0.00016708,4.45161039,0.585971
1561990_at,LOC157931,-0.277,0.00016863,-4.44798217,0.57885
243880_at,GOSR2,0.372,0.00017091,4.44271154,0.568504
216481_at,GRIP2,-0.249,0.00017937,-4.42373147,0.531239
223942_x_at,CHST5,-0.263,0.00018288,-4.41612239,0.516294
207485_x_at,BTN3A1,-0.272,0.0002064,-4.36857145,0.422848
230576_at,BLOC1S3,-0.327,0.00024122,-4.3072807,0.302276
226511_at,DCAF10,0.2,0.00024248,4.30522308,0.298226
1556088_at,RPAIN,0.33,0.00024406,4.30267877,0.293218
210444_at,NPY6R,-0.292,0.00024557,-4.30025732,0.288452
242245_at,,0.481,0.00024758,4.29703552,0.28211
221134_at,ANGPT4,-0.325,0.00024792,-4.29649785,0.281051
221340_at,CDX4,-0.266,0.00025451,-4.28618231,0.260743
233322_at,CD9,-0.342,0.00025635,-4.28334944,0.255166
222944_s_at,MAGIX,-0.293,0.00025682,-4.28262783,0.253745
227719_at,SMAD9,0.515,0.00026098,4.27631543,0.241316
211336_x_at,LILRB1,-0.275,0.00026402,-4.27175117,0.232328
224008_s_at,KCNK7,-0.302,0.00027204,-4.25997883,0.209145
215999_at,CDRT1,-0.228,0.00027343,-4.25797573,0.2052
239789_at,C11orf49,-0.238,0.00027436,-4.25663084,0.202551
244681_at,NUP210P1,-0.216,0.0002799,-4.24876163,0.187051
1554796_at,DPP6,-0.289,0.00028155,-4.24645595,0.18251
206126_at,CXCR5,-0.245,0.0002836,-4.24360028,0.176884
203874_s_at,SMARCA1,0.21,0.00028576,4.24061679,0.171007
201925_s_at,CD55,0.281,0.00028628,4.2398898,0.169575
240981_at,,-0.29,0.00028866,-4.2366374,0.163168
239756_at,,-0.28,0.0002933,-4.23035645,0.150794
1554220_a_at,,-0.308,0.00029373,-4.22978263,0.149664
214807_at,PLXDC2,0.352,0.00029928,4.22241683,0.135152
204265_s_at,GPSM3,-0.29,0.00029969,-4.22188007,0.134094
