GeneID,logFC,logCPM,F,PValue,FDR,Homo_sapiens,SYMBOL
27273,1.38920751783057,3.67318062883667,587.303187644839,9.009845031801018e-60,2.4487857811931996e-55,5166,PDK4
57875,1.16863315509903,4.10344798550975,437.00453230928,5.973292393038879e-51,8.117405697520181e-47,51129,ANGPTL4
11826,-0.533669920257118,6.73321978648608,425.441159604219,3.4745786403336495e-50,3.1478524288542802e-46,358,AQP1
17380,-0.581362176009296,6.08386758943785,294.962251497931,2.17716844763727e-40,1.4793315309583298e-36,4311,MME
16541,-0.64256341660546,8.26172006906626,285.047427511944,1.54214901330502e-39,8.38281360652343e-36,9476,NAPSA
56185,-0.589423615637718,6.89525605805926,246.884825363964,4.3342473728707594e-36,1.96334182245424e-32,51179,HAO2
53881,-0.610270207765235,6.48321488929319,216.477577226915,4.07729166192073e-33,1.58309585827634e-29,6526,SLC5A3
73095,0.652098670071046,4.88390843447339,202.827719683658,1.0451940224755798e-31,3.55091604210798e-28,284439,SLC25A42
109342,-0.566815701423887,4.64536981358128,197.84663659611,3.5131463548693697e-31,1.06093116421105e-27,125206,SLC5A10
14629,-0.377673107972438,6.35882280858289,180.857507009467,2.48029312455743e-29,6.12835334839513e-26,2729,GCLC
22598,-0.397404649122903,6.78866748575724,180.285348768016,2.87246120292626e-29,6.50588525286107e-26,348932,SLC6A18
227394,-1.05681364825053,3.28750487227253,178.410818856797,5.19201381933356e-29,1.08549033535128e-25,353189,SLCO4C1
20495,-0.62520731244064,8.14635824426137,169.960239375389,1.3217545391219199e-27,2.56599761562819e-24,6557,SLC12A1
20522,-0.451667056977156,6.13784745212176,151.921843600009,5.636147243826169e-26,9.01087329058538e-23,9963,SLC23A1
234267,-0.497662898359943,5.40022636312264,147.752415705595,1.8127892640353499e-25,2.46348997036084e-22,2823,GPM6A
14933,-0.35549795414237,7.48631772565223,146.272944721261,2.7537007931030397e-25,3.5639444693213096e-22,2710,GK
16525,-0.63429154963826,4.19594379497407,142.973609220146,7.043432145911069e-25,8.70152010425986e-22,3775,KCNK1
22228,0.615468183395981,4.84672307561055,141.746239033245,1.00130653071116e-24,1.1832395738347201e-21,7351,UCP2
17288,-0.709187143792479,5.32251853081431,143.57628342047,1.76683475061053e-24,2.00086673695181e-21,4225,MEP1B
12307,0.612088479229591,5.87444795796163,140.652965670731,2.11605602494323e-24,2.3004914680772802e-21,793,CALB1
233038,-0.926993033673403,4.27875025273579,139.777013668566,7.53307179469784e-24,7.87466762723433e-21,342897,NCCRP1
69309,0.513494181295091,4.26310613255242,134.281285787009,8.75838332422015e-24,8.816448161814061e-21,201232,SLC16A13
26432,-0.597912141492859,3.8828660897103,132.992559151359,1.28016072787394e-23,1.2426245865316299e-20,5352,PLOD2
19049,-0.759783072662423,3.30185632369918,129.613251062209,3.48921003959309e-23,3.2701117126241596e-20,84152,PPP1R1B
11827,-0.784558136716904,2.83758436340621,124.380545404422,1.68426799449472e-22,1.4766683813668398e-19,359,AQP2
