ID,gene_name,logFC,PValue,t,B
235003_at,UHMK1,-0.594,0.00000202,-6.59,3.40145
227740_at,UHMK1,-0.786,0.00000313,-6.38,3.12278
235412_at,ARHGEF7,-0.791,0.00002819,-5.39,1.66297
1558444_at,,-0.945,0.00003388,-5.31,1.5365
220372_at,DNAJC28,-0.44,0.00003773,-5.26,1.46236
1552439_s_at,MEGF11,0.443,0.00004404,5.19,1.35525
205731_s_at,NCOA2,-0.375,0.00004686,-5.16,1.31209
227621_at,WTAP,-0.512,0.00005385,-5.1,1.21532
220462_at,CSRNP3,-0.469,0.00005517,-5.09,1.19841
225355_at,NEURL1B,0.505,0.00005956,5.06,1.14482
214710_s_at,CCNB1,-0.384,0.00006549,-5.02,1.07837
209966_x_at,ESRRG,-0.34,0.00007216,-4.98,1.01035
207181_s_at,CASP7,0.493,0.00007261,4.97,1.00596
224562_at,WASF2,0.336,0.00008463,4.91,0.89815
209678_s_at,PRKCI,-0.534,0.00008726,-4.89,0.87653
240479_at,HS3ST5,-0.409,0.00009096,-4.88,0.84718
217911_s_at,BAG3,1.05,0.00010559,4.81,0.74165
204460_s_at,RAD1,-0.359,0.00010821,-4.8,0.7243
1553705_a_at,CHRM3,-0.499,0.00011244,-4.78,0.69703
205208_at,ALDH1L1,0.475,0.00011956,4.76,0.65344
204851_s_at,DCX,-0.504,0.00014264,-4.68,0.52772
1553304_at,LSM14B,-0.356,0.00014472,-4.68,0.51739
225516_at,SLC7A2,0.681,0.00014977,4.66,0.49288
223161_at,KIAA1147,-0.496,0.00015004,-4.66,0.49157
220378_at,TCP11,0.359,0.0001696,4.61,0.4039
204284_at,PPP1R3C,0.779,0.00017114,4.6,0.39745
216470_x_at,PRSS2,-0.369,0.00017169,-4.6,0.39514
209851_at,ZC3H13,0.315,0.00017392,4.6,0.3859
219103_at,ASAP3,0.347,0.00017838,4.59,0.36772
222843_at,FIGNL1,-0.281,0.00018701,-4.57,0.33383
226429_at,GPALPP1,-0.262,0.00019077,-4.56,0.31954
206061_s_at,DICER1,-0.436,0.00019355,-4.55,0.30917
222826_at,BLOC1S6,-0.436,0.00021594,-4.5,0.23043
214596_at,CHRM3,-0.446,0.00021841,-4.5,0.22224
207469_s_at,PIR,0.7,0.00021887,4.5,0.22074
219032_x_at,OPN3,-0.401,0.00022107,-4.49,0.21352
243579_at,MSI2,0.449,0.00022572,4.48,0.19852
229456_s_at,DDAH1,-0.331,0.00022863,-4.48,0.18931
230068_s_at,PEG3-AS1,-0.533,0.00023257,-4.47,0.17698
237737_at,LOC101927345///LOC101060632///LOC101059949///ANKRD20A12P,-0.58,0.00024287,-4.45,0.14573
228729_at,CCNB1,-0.383,0.00025169,-4.44,0.11998
215441_at,,-0.531,0.00025361,-4.44,0.11449
202708_s_at,HIST2H2BE,0.525,0.0002621,4.42,0.09069
209763_at,CHRDL1,0.422,0.00026596,4.41,0.08012
240887_at,LOC100506470,0.259,0.00027175,4.41,0.06454
213788_s_at,,-0.363,0.00027413,-4.4,0.05826
202788_at,MAPKAPK3,0.295,0.00028528,4.38,0.02939
219679_s_at,WAC,-0.533,0.00028804,-4.38,0.02243
206277_at,P2RY2,0.285,0.00029552,4.37,0.00386
222960_at,CACNA1H,0.262,0.00031656,4.34,-0.04601
243507_s_at,C20orf196,-0.308,0.00032503,-4.33,-0.06515
205722_s_at,GFRA2,-0.4,0.00034886,-4.3,-0.11654
215164_at,,-0.334,0.00035221,-4.29,-0.12348
1559503_a_at,LOC441666,-0.291,0.00035536,-4.29,-0.12995
225799_at,LOC101930489///MIR4435-2HG///LINC00152,-0.389,0.0003619,-4.28,-0.1432
219252_s_at,GEMIN8,0.372,0.00037826,4.26,-0.17537
213167_s_at,SLC5A3,-0.386,0.00039082,-4.25,-0.19914
1560081_at,RAD51-AS1,-0.284,0.0003972,-4.24,-0.21094
204054_at,PTEN,-0.312,0.00039744,-4.24,-0.21137
232349_x_at,DCAF6,-0.31,0.00040161,-4.24,-0.21899
215145_s_at,CNTNAP2,-0.853,0.00040799,-4.23,-0.23046
224530_s_at,KCNIP4,-0.484,0.00042169,-4.22,-0.25454
1554290_at,LOC101929134///HERC3,-0.491,0.00042267,-4.22,-0.25623
1561942_x_at,ERVK13-1,-0.59,0.000423,-4.22,-0.2568
224565_at,MIR612///NEAT1,0.776,0.00042875,4.21,-0.26665
208788_at,ELOVL5,0.355,0.00043838,4.2,-0.28285
219300_s_at,CNTNAP2,-0.758,0.00044633,-4.19,-0.29596
211074_at,FOLR1,-0.883,0.00045097,-4.19,-0.30351
209834_at,CHST3,0.444,0.00046563,4.18,-0.32687
203158_s_at,GLS,-0.428,0.00048002,-4.16,-0.3491
243010_at,MSI2,0.616,0.00048061,4.16,-0.35
244078_at,,-0.383,0.00048477,-4.16,-0.3563
222989_s_at,UBQLN1,-0.286,0.00049134,-4.15,-0.36613
207276_at,CDR1,-0.318,0.00050127,-4.14,-0.38076
240765_at,,0.284,0.00050253,4.14,-0.3826
223243_s_at,EDEM3,-0.314,0.00050424,-4.14,-0.38509
1552921_a_at,FIGNL1,-0.389,0.00052028,-4.13,-0.40799
242214_at,RPS27A,-0.441,0.00053775,-4.11,-0.43216
