ID,gene_name,logFC,PValue,t,B
238663_x_at,GRIA4,-0.608,0.00000787,-6.2,-0.142
229455_at,LOC102723694,0.69,0.00004748,5.33,-0.769
228346_at,ZNF844,0.459,0.00005501,5.26,-0.824
1566469_at,,0.434,0.0000818,5.08,-0.974
212182_at,NUDT4,-0.603,0.00008692,-5.05,-0.997
241432_at,SLIT2-IT1,0.219,0.00012144,4.89,-1.127
244552_at,ZNF788,0.4,0.00013566,4.84,-1.171
1554474_a_at,MOXD1,-1.05,0.00017906,-4.71,-1.281
229850_at,KDSR,-0.429,0.00020357,-4.65,-1.333
1554014_at,CHD2,0.581,0.00020702,4.65,-1.34
1559685_at,LOC100506379,0.254,0.00021368,4.63,-1.353
243010_at,MSI2,0.694,0.00025584,4.55,-1.426
225516_at,SLC7A2,0.519,0.00030887,4.46,-1.504
47069_at,PRR5,0.385,0.00031765,4.45,-1.516
217127_at,CTH,0.659,0.00034932,4.41,-1.555
226606_s_at,MTG2,0.403,0.00036271,4.39,-1.571
228506_at,NSMCE4A,-0.517,0.0003743,-4.38,-1.584
235927_at,XPO1,0.578,0.00038676,4.36,-1.598
32091_at,SLC25A44,-0.271,0.00040272,-4.34,-1.615
228751_at,CLK4,-0.44,0.00047144,-4.27,-1.681
206154_at,RLBP1,-0.479,0.00051145,-4.23,-1.716
240433_x_at,CADM2,-0.349,0.00054359,-4.21,-1.742
202521_at,CTCF,-0.211,0.00056346,-4.19,-1.757
213931_at,ID2B///ID2,-0.815,0.0005663,-4.19,-1.76
231055_at,,-0.452,0.00057184,-4.18,-1.764
217911_s_at,BAG3,0.654,0.00059237,4.17,-1.779
213385_at,CHN2,-0.441,0.00059535,-4.17,-1.781
1553575_at,ND6,-0.81,0.00059801,-4.16,-1.783
209708_at,MOXD1,-0.986,0.00059969,-4.16,-1.784
226828_s_at,HEYL,0.433,0.00060259,4.16,-1.786
212517_at,ATRN,-0.304,0.00062692,-4.14,-1.803
242626_at,SAMD5,-0.311,0.00066473,-4.12,-1.829
1557067_s_at,LUC7L,-0.322,0.00066718,-4.11,-1.83
208291_s_at,TH,-0.971,0.00069236,-4.1,-1.846
200790_at,ODC1,0.47,0.00074432,4.06,-1.878
229879_at,ASPH,0.3,0.0007611,4.05,-1.887
201673_s_at,GYS1,0.279,0.00080621,4.03,-1.912
220637_at,FAM124B,0.29,0.00081241,4.02,-1.916
1564263_at,LINC00330,0.324,0.00081292,4.02,-1.916
203835_at,LRRC32,0.483,0.00083031,4.01,-1.925
202936_s_at,SOX9,0.343,0.00083321,4.01,-1.927
227486_at,NT5E,0.337,0.00084525,4.01,-1.933
215356_at,TDRD12,-0.539,0.00088855,-3.98,-1.955
204198_s_at,RUNX3,0.224,0.00090244,3.98,-1.962
208417_at,FGF6,0.204,0.00092628,3.97,-1.973
244293_at,UQCRB,-0.475,0.00092904,-3.96,-1.974
244636_at,,-0.345,0.00093971,-3.96,-1.98
235174_s_at,LINC01003,-0.659,0.00093973,-3.96,-1.98
239353_at,STK32A,0.45,0.00096538,3.95,-1.991
229866_at,STK32A,0.401,0.00097041,3.94,-1.994
206414_s_at,ASAP2,-0.388,0.00097844,-3.94,-1.997
227246_at,PLRG1,-0.389,0.0010009,-3.93,-2.007
1558686_at,MPV17L,-0.364,0.00103352,-3.92,-2.021
207574_s_at,GADD45B,0.785,0.00106823,3.9,-2.036
229272_at,FNBP4,-0.332,0.00106937,-3.9,-2.037
1556081_at,,-0.604,0.00106993,-3.9,-2.037
222587_s_at,GALNT7,-0.387,0.00108684,-3.89,-2.044
209304_x_at,GADD45B,0.607,0.00109725,3.89,-2.048
201026_at,EIF5B,-0.273,0.00111279,-3.88,-2.054
230417_at,GALNT16,0.301,0.00116228,3.86,-2.073
221648_s_at,AGMAT,0.519,0.00117155,3.86,-2.077
1562941_at,,0.225,0.00118082,3.86,-2.081
1554015_a_at,CHD2,0.329,0.00120435,3.85,-2.089
1554558_at,DCAF5,0.19,0.0012779,3.82,-2.116
228999_at,CHD2,0.359,0.00131149,3.81,-2.127
215172_at,PTPN20,-0.881,0.00131702,-3.81,-2.129
239401_at,,0.227,0.0013195,3.81,-2.13
234358_at,,-0.355,0.00134256,-3.8,-2.138
210409_at,AFDN-AS1,0.415,0.00136613,3.79,-2.146
211988_at,SMARCE1,-0.223,0.00138401,-3.78,-2.151
204919_at,PRH1-PRR4///PRR4,-0.332,0.00139572,-3.78,-2.155
219619_at,DIRAS2,-0.5,0.00139655,-3.78,-2.155
219489_s_at,NXN,0.451,0.00141089,3.78,-2.16
232377_at,NXPH1,-0.417,0.0014288,-3.77,-2.166
210586_x_at,RHD,0.248,0.00143837,3.77,-2.169
224565_at,MIR612///NEAT1,0.529,0.00145996,3.76,-2.175
214995_s_at,APOBEC3F///APOBEC3G,0.271,0.00150076,3.75,-2.188
223883_s_at,STK31,-0.555,0.00150197,-3.75,-2.188
215802_at,,0.347,0.00153353,3.74,-2.197
231427_at,LOC284648,0.29,0.00154643,3.73,-2.201
201843_s_at,EFEMP1,-0.569,0.00155332,-3.73,-2.203
205776_at,FMO5,0.283,0.00161635,3.71,-2.221
