ID,gene_name,logFC,PValue,t,B
206605_at,ENDOU,-0.33584207,0.000147,-4.5588836,-0.518
221366_at,NKX6-1,-0.29237643,0.000185,-4.4653134,-0.64
217255_at,,-0.26571721,0.000216,-4.4023157,-0.723
1564414_a_at,PNLDC1,0.51778455,0.000228,4.3803161,-0.752
1559766_at,ALDH1L1-AS2,-0.23108206,0.000228,-4.3799428,-0.752
227044_at,,0.54876983,0.000283,4.2929499,-0.867
208118_x_at,LOC101060604///SMG1P3///SLC7A5P2///SLC7A5P1,0.30637794,0.000335,4.2243915,-0.959
229440_at,RBM47,-0.19548113,0.000387,-4.1658497,-1.037
240766_at,,0.18739443,0.000456,4.0994374,-1.126
206375_s_at,HSPB3,-0.26497806,0.000505,-4.0579072,-1.182
213010_at,PRKCDBP,-0.32273098,0.000613,-3.9789424,-1.289
206867_at,GCKR,-0.2632151,0.000702,-3.9235347,-1.364
1561192_at,,0.17910048,0.000727,3.9093704,-1.384
234198_at,PROM2,-0.23907664,0.000736,-3.9046899,-1.39
205613_at,SYT17,-0.29573632,0.000758,-3.8923664,-1.407
232905_at,GTF2H5,0.37936494,0.000857,3.8423775,-1.475
1560327_at,,-0.28761706,0.000862,-3.839967,-1.478
213652_at,PCSK5,-0.21120503,0.000891,-3.8268421,-1.496
1560274_at,WTAP,0.30706009,0.000915,3.8156851,-1.511
222542_x_at,COQ8A,0.26464984,0.000935,3.8070282,-1.523
223753_s_at,CFC1B///CFC1,0.26470736,0.001,3.779448,-1.561
208531_at,SERPINA2,-0.21423611,0.001016,-3.7731172,-1.569
239275_at,LOC101930006///FRMPD2B///FRMPD2,-0.2312725,0.001026,-3.7690633,-1.575
242701_at,TBRG1,0.21500716,0.001051,3.7591993,-1.588
1554686_at,STAU2,0.2349465,0.001115,3.7351366,-1.621
228462_at,IRX2,-0.25681614,0.001143,-3.7248269,-1.635
1562230_at,,0.19182025,0.001154,3.7208898,-1.641
204011_at,SPRY2,-0.2918747,0.001155,-3.7205801,-1.641
221016_s_at,TCF7L1,-0.28983956,0.001166,-3.7168414,-1.646
238580_at,,0.2026575,0.001204,3.7034319,-1.664
210177_at,TRIM15,-0.18104897,0.00127,-3.6815251,-1.694
1554683_a_at,CCDC187,-0.22525499,0.00128,-3.6783072,-1.699
1559303_at,LINC01532,-0.24655821,0.001301,-3.6718744,-1.708
236724_at,CFC1,0.22562047,0.001305,3.670619,-1.709
203355_s_at,PSD3,0.24119823,0.001317,3.6667572,-1.715
1555247_a_at,RAPGEF6,0.48442805,0.001393,3.6435856,-1.746
1554522_at,CNNM2,0.21581437,0.001399,3.6418328,-1.749
215216_at,VPS16,-0.19893232,0.001457,-3.6252201,-1.772
205260_s_at,ACYP1,0.29375335,0.001476,3.6199891,-1.779
219645_at,CASQ1,-0.27777602,0.001526,-3.6062034,-1.798
243913_at,,-0.37428051,0.001575,-3.5931174,-1.816
217553_at,STEAP1B,0.35064204,0.00162,3.5816555,-1.831
229517_at,PTPDC1,0.21133823,0.001643,3.5757503,-1.839
238569_at,GABBR1,-0.21515122,0.001662,-3.5710486,-1.846
1566973_at,,-0.2342341,0.001754,-3.5489037,-1.876
1557807_a_at,,-0.21635489,0.001833,-3.5306335,-1.901
1555830_s_at,ESYT2,0.55125414,0.001844,3.5282845,-1.905
219473_at,GDAP2,-0.256642,0.001902,-3.5153468,-1.922
232653_at,,-0.37037499,0.001913,-3.5130245,-1.925
1565583_at,ZSCAN5A,-0.28180873,0.001935,-3.508332,-1.932
217914_at,TPCN1,-0.2273294,0.001953,-3.5044394,-1.937
1560094_at,,0.23233419,0.002021,3.4903985,-1.956
1552546_a_at,LETM2,-0.19918547,0.002028,-3.4888882,-1.959
1553131_a_at,GATA4,-0.15982906,0.002151,-3.4645858,-1.992
211237_s_at,FGFR4,-0.1816883,0.002157,-3.4633461,-1.994
222301_at,C1orf61,-0.25858069,0.002167,-3.4615296,-1.996
207833_s_at,HLCS,0.27964038,0.002223,3.4508603,-2.011
217608_at,SREK1IP1,0.41267164,0.002287,3.439101,-2.027
236461_at,ABHD1,-0.24557435,0.002385,-3.4216462,-2.051
1570571_at,CCDC91,0.68258855,0.00245,3.4106238,-2.066
1561677_at,MACROD2,0.18139071,0.002478,3.4057614,-2.073
214871_x_at,LOC100287590,0.1751564,0.002538,3.3958233,-2.086
206387_at,CDX2,-0.26984621,0.002555,-3.393035,-2.09
1558440_at,LOC100506351,-0.1780229,0.002587,-3.3879073,-2.097
244020_at,,0.22015869,0.002588,3.3877438,-2.097
231773_at,ANGPTL1,-0.15798781,0.002596,-3.3864474,-2.099
210396_s_at,SMG1P5///BOLA2///SMG1P2,0.48366749,0.002654,3.377235,-2.112
1564319_at,FAM71E2,-0.1675018,0.002673,-3.3743342,-2.116
226828_s_at,HEYL,-0.38309348,0.002691,-3.3715367,-2.119
1552430_at,WDR17,0.39656489,0.002696,3.3707891,-2.12
212590_at,RRAS2,-0.22603189,0.002717,-3.3675873,-2.125
235390_at,SREK1IP1,0.21626775,0.002755,3.3616902,-2.133
208891_at,DUSP6,-0.51784575,0.002777,-3.3584673,-2.137
235897_at,COPZ2,-0.22373759,0.002777,-3.358353,-2.138
221489_s_at,SPRY4,-0.24115314,0.002787,-3.3568681,-2.14
230097_at,GART,0.30281135,0.002818,3.3522994,-2.146
205008_s_at,CIB2,-0.17739006,0.002858,-3.3464222,-2.154
211863_x_at,HFE,-0.17931378,0.002859,-3.3462732,-2.154
215009_s_at,THAP9-AS1,0.4941504,0.002882,3.3429281,-2.159
231127_at,,-0.19867067,0.002885,-3.3425102,-2.159
223126_s_at,C1orf21,-0.2270622,0.002924,-3.3369463,-2.167
238047_at,ARHGAP36,-0.34436059,0.002977,-3.3294463,-2.177
1557790_at,JRKL,-0.18404596,0.002999,-3.3263911,-2.181
215023_s_at,PEX1,0.26188388,0.003018,3.3237063,-2.185
209505_at,NR2F1,-0.36385483,0.00303,-3.3219736,-2.187
216107_at,LOC100129503,-0.25685777,0.003054,-3.31869,-2.192
229882_at,RPS15A,-0.17339876,0.003111,-3.3110244,-2.202
204923_at,SASH3,-0.26598452,0.003115,-3.3104981,-2.203
233148_at,PODN,-0.1995408,0.003119,-3.309917,-2.204
242201_at,PMS2P5,0.44495291,0.003151,3.3056561,-2.21
216642_at,,-0.17832364,0.003229,-3.2954843,-2.224
238828_at,MFSD4B,0.19103385,0.003244,3.2935526,-2.226
229014_at,NR2F1-AS1,-0.21002682,0.003248,-3.293014,-2.227
222485_at,FKBP3,-0.21119255,0.00327,-3.2901789,-2.231
233281_at,,-0.23606273,0.003306,-3.2855898,-2.237
1559180_at,LOC100131860,0.17058507,0.003315,3.2844105,-2.239
1565887_at,,0.20742254,0.003326,3.2830782,-2.241
210957_s_at,AFF2,-0.19166692,0.00333,-3.2825809,-2.241
1557690_x_at,,-0.27774293,0.003335,-3.2819148,-2.242
231242_at,BHLHE41,-0.26322353,0.003335,-3.2818818,-2.242
1566908_at,STPG3,-0.23492605,0.003348,-3.2802973,-2.244
216744_at,,-0.22227422,0.003373,-3.2771925,-2.249
236379_at,,0.46909834,0.003385,3.2757158,-2.251
212311_at,SEL1L3,-0.21752807,0.00343,-3.2701335,-2.258
1558816_at,ZNF664,0.22627275,0.003432,3.2698657,-2.259
236948_x_at,SRSF11,0.31950008,0.003447,3.2680395,-2.261
235256_s_at,GALM,-0.16548929,0.003467,-3.2656669,-2.264
228557_at,L3MBTL4,0.16741357,0.003478,3.2643255,-2.266
217690_at,ENOSF1,0.28336535,0.003514,3.2600252,-2.272
1553972_a_at,CBS,-0.18787745,0.003559,-3.2546386,-2.279
232313_at,TMEM132C,-0.25984962,0.003564,-3.2541088,-2.28
207994_s_at,OPRM1,-0.17788045,0.003631,-3.2462111,-2.291
226314_at,CHST14,-0.13958011,0.003656,-3.2433769,-2.295
229272_at,FNBP4,0.38670609,0.003695,3.238849,-2.301
220117_at,ZNF385D,0.28131278,0.003809,3.2261426,-2.318
211721_s_at,ZNF551,0.39272646,0.003812,3.225852,-2.319
219282_s_at,TRPV2,-0.20216513,0.003822,-3.224651,-2.32
238905_at,RHOJ,-0.28686945,0.00386,-3.2205035,-2.326
204873_at,PEX1,0.18591551,0.003867,3.2197551,-2.327
235587_at,PAXIP1-AS1,0.22382889,0.003889,3.2173613,-2.33
233400_at,,0.41985565,0.004006,3.2048951,-2.347
214846_s_at,ALPK3,-0.20907936,0.004029,-3.2024605,-2.351
230927_at,,0.31125592,0.004061,3.1991686,-2.355
1558622_a_at,ZNF548,-0.1251292,0.004075,-3.1976782,-2.357
244777_at,DCP2,0.2983354,0.004101,3.195026,-2.361
209506_s_at,NR2F2///NR2F1,-0.25614485,0.004141,-3.1909842,-2.366
205765_at,CYP3A5,-0.20490705,0.004163,-3.1887028,-2.369
232146_at,NDUFC1,0.22631499,0.004167,3.1883087,-2.37
232123_at,MIR4697///MIR4697HG,0.15792542,0.004188,3.1861411,-2.373
203510_at,MET,0.63651185,0.004195,3.1854769,-2.374
235631_at,DDR2,-0.2327405,0.004371,-3.1681652,-2.397
223125_s_at,C1orf21,-0.25273448,0.004458,-3.159832,-2.409
244037_at,LOC100507520,0.28415624,0.004465,3.15917,-2.41
230316_at,SEC14L2,-0.20685543,0.004496,-3.1561696,-2.414
244008_at,PARP8,-0.2629019,0.004498,-3.1560213,-2.414
