ID,gene_name,logFC,PValue,t,B
229325_at,ZZZ3,0.07219318,0.3980414,0.8624722,-4.882
212893_at,ZZZ3,-0.05859948,0.4406746,-0.7857488,-4.9238
207190_at,ZZEF1,-0.13039167,0.0490889,-2.0870426,-3.8103
212601_at,ZZEF1,-0.04704896,0.3379624,-0.9802744,-4.811
207189_s_at,ZZEF1,-0.00684587,0.9123045,-0.1114491,-5.1284
200808_s_at,ZYX,-0.1738733,0.0264375,-2.3851811,-3.4659
215706_x_at,ZYX,-0.17285741,0.059141,-1.993822,-3.9132
227918_s_at,ZYG11B,0.56919434,0.0214419,2.4827716,-3.3489
225350_s_at,ZYG11B,0.11911134,0.260105,1.1569692,-4.6897
225338_at,ZYG11B,0.06251992,0.4894366,0.7033893,-4.9647
231517_at,ZYG11A,-0.00362302,0.962265,-0.0478714,-5.1319
234991_at,ZXDC,0.15013772,0.1054674,1.6908027,-4.2278
225964_at,ZXDC,0.12977913,0.1309689,1.5708344,-4.3428
230106_at,ZXDC,0.12057616,0.2368211,1.2172832,-4.6444
235448_at,ZXDC,0.06527154,0.2544904,1.1711314,-4.6792
230209_at,ZXDC,0.08971616,0.3126001,1.0343111,-4.7758
218639_s_at,ZXDC,0.02929719,0.6525126,0.4567007,-5.0612
215263_at,ZXDB///ZXDA,-0.13821211,0.0396104,-2.1922539,-3.6913
216014_s_at,ZXDB///ZXDA,0.02254034,0.6922631,0.4012126,-5.0774
228005_at,ZXDB,0.12988224,0.1155656,1.6406514,-4.2766
216013_at,ZXDB,-0.03952287,0.4819561,-0.7156981,-4.9588
243521_at,ZXDA,0.02920331,0.6485158,0.4623585,-5.0595
204026_s_at,ZWINT,-0.45135953,0.067796,-1.9242529,-3.9882
218349_s_at,ZWILCH,0.05217092,0.7297453,0.3500446,-5.0906
222606_at,ZWILCH,0.00683159,0.9616386,0.0486668,-5.1319
204812_at,ZW10,0.07385957,0.2302224,1.2351864,-4.6306
228330_at,ZUFSP,0.01604135,0.8516455,0.1893074,-5.1203
210593_at,ZSWIM8///SAT1,-0.09494143,0.1884592,-1.3587265,-4.5309
214867_at,ZSWIM8-AS1///NDST2,-0.08523996,0.2240061,-1.2524133,-4.6172
212359_s_at,ZSWIM8,-0.15369217,0.040438,-2.182206,-3.7028
216345_at,ZSWIM8,-0.11016681,0.1392446,-1.5361084,-4.375
229119_s_at,ZSWIM7,0.299847,0.0934345,1.7562013,-4.1627
228719_at,ZSWIM7,-0.31765293,0.1095093,-1.6702609,-4.2479
226208_at,ZSWIM6,0.00854138,0.8944723,0.1342422,-5.1265
232336_at,ZSWIM5,0.00175654,0.9701766,0.0378289,-5.1322
231915_at,ZSWIM4,0.02167003,0.7224418,0.359936,-5.0882
228223_at,ZSWIM3,-0.03669578,0.5730911,-0.5723353,-5.0209
1554932_at,ZSWIM2,-0.02504099,0.7245962,-0.3570145,-5.0889
217592_at,ZSWIM1,-0.05507843,0.4883616,-0.7051515,-4.9639
223607_x_at,ZSWIM1,-0.02292056,0.6814044,-0.4162361,-5.0733
205181_at,ZSCAN9,-0.12525169,0.0261063,-2.3910971,-3.4589
239406_at,ZSCAN9,-0.10926111,0.1384915,-1.539197,-4.3721
1565583_at,ZSCAN5A,-0.20163667,0.0122833,-2.7360705,-3.0377
219904_at,ZSCAN5A,-0.0004105,0.9961749,-0.0048507,-5.1327
1552851_at,ZSCAN4,-0.10980484,0.1141826,-1.6472956,-4.2702
1552852_a_at,ZSCAN4,0.00327103,0.9671189,0.0417097,-5.1321
218937_at,ZSCAN32,-0.11503991,0.06457,-1.9492124,-3.9615
220292_at,ZSCAN32,-0.02686809,0.644053,-0.4686941,-5.0574
222016_s_at,ZSCAN31,-0.13274223,0.3983623,-0.8618757,-4.8824
228130_at,ZSCAN30,0.07733505,0.2165819,1.2734748,-4.6005
1557105_a_at,ZSCAN30,-0.0554227,0.3013183,-1.0593419,-4.7589
1557104_at,ZSCAN30,-0.09811723,0.4102239,-0.8400385,-4.8946
228125_at,ZSCAN30,-0.05517487,0.4111554,-0.8383409,-4.8956
1562988_at,ZSCAN30,0.02793849,0.5988486,0.5340389,-5.0352
226562_at,ZSCAN29,-0.0369926,0.5842912,-0.5555797,-5.0273
213218_at,ZSCAN26,-0.05795037,0.3022828,-1.0571761,-4.7603
242621_at,ZSCAN25,-0.09510917,0.0537867,-2.041539,-3.8609
228138_at,ZSCAN25,-0.0954531,0.1687258,-1.4247577,-4.4746
1564039_at,ZSCAN23,0.07411615,0.2350758,1.2219812,-4.6408
1563670_at,ZSCAN23,-0.01456687,0.8051816,-0.2497417,-5.1112
228769_at,ZSCAN22,-0.01913711,0.8310264,-0.2160233,-5.1166
223424_s_at,ZSCAN21,-0.13556908,0.0211059,-2.490072,-3.3401
1552498_at,ZSCAN20,-0.12863072,0.1050034,-1.6932034,-4.2254
1554790_at,ZSCAN20,0.09606057,0.1636773,1.4426398,-4.4589
1552499_a_at,ZSCAN20,-0.08267107,0.4008775,-0.8572106,-4.885
231188_at,ZSCAN2,0.11934971,0.1986394,1.3267839,-4.5574
220516_at,ZSCAN2,0.01744786,0.7770046,0.2868452,-5.1044
232866_at,ZSCAN18,-0.0924709,0.3006722,-1.0607953,-4.7579
218312_s_at,ZSCAN18,0.04874156,0.4986523,0.6883734,-4.9717
217593_at,ZSCAN18,-0.05032716,0.6572521,-0.4500112,-5.0633
244730_x_at,ZSCAN16-AS1,-0.05371389,0.3699752,-0.9159099,-4.8508
1557062_at,ZSCAN16-AS1,-0.02124265,0.7096138,-0.3773992,-5.0838
236777_at,ZSCAN16-AS1,0.01529247,0.8461831,0.1963704,-5.1194
219676_at,ZSCAN16,-0.16535516,0.1062982,-1.6865268,-4.232
239157_at,ZSCAN12P1,-0.14824288,0.1747987,-1.403808,-4.4927
240181_at,ZSCAN12,-0.04850536,0.5318636,-0.6355195,-4.9952
217098_s_at,ZSCAN12,-0.03751617,0.5947824,-0.5400296,-5.033
206507_at,ZSCAN12,-0.03092672,0.6230741,-0.4987453,-5.0476
1553874_a_at,ZSCAN10,0.02160826,0.7006478,0.3896762,-5.0806
1553875_s_at,ZSCAN10,0.03253376,0.7108045,0.3757734,-5.0842
1562651_at,ZSCAN1,-0.0991079,0.2009809,-1.3196197,-4.5633
208174_x_at,ZRSR2,-0.06093465,0.3744556,-0.9072044,-4.856
213876_x_at,ZRSR2,-0.05785712,0.4271793,-0.8095099,-4.9113
206512_at,ZRSR1///SRP19,-0.09451645,0.5018368,-0.6832216,-4.974
239538_at,ZRANB3,0.02570516,0.6561901,0.4515083,-5.0628
244092_at,ZRANB3,-0.00998569,0.899117,-0.1282989,-5.127
224124_at,ZRANB3,-0.00286268,0.9585332,-0.0526101,-5.1317
231030_at,ZRANB2-AS1,-0.06895841,0.2073263,-1.3005266,-4.5788
223016_x_at,ZRANB2,0.11870075,0.3664639,0.9227817,-4.8467
223716_s_at,ZRANB2,0.01147319,0.8282813,0.2195918,-5.1161
225130_at,ZRANB1,0.09472198,0.3521025,0.9513563,-4.8292
225138_at,ZRANB1,-0.01542984,0.8421704,-0.2015654,-5.1187
225131_at,ZRANB1,0.00720441,0.9347386,0.0828581,-5.1303
200054_at,ZPR1,0.00203609,0.9747883,0.031977,-5.1323
1569777_a_at,ZPLD1,-0.02729577,0.6276108,-0.492208,-5.0498
1561969_at,ZPLD1,0.03028468,0.705676,0.3827838,-5.0824
231442_at,ZPBP2,-0.06258856,0.3066866,-1.0473498,-4.767
207021_at,ZPBP,0.04736789,0.3593186,0.9369023,-4.8381
231756_at,ZP4,-0.00820542,0.9139922,-0.1092953,-5.1286
207933_at,ZP2,-0.14962761,0.0343466,-2.261037,-3.6119
237335_at,ZP1,-0.06989357,0.36826,-0.919261,-4.8488
215461_at,ZNRF4,-0.0214998,0.7200826,-0.363139,-5.0874
226360_at,ZNRF3,0.0566179,0.5771411,0.5662576,-5.0232
1556404_a_at,ZNRF2P1,-0.03523528,0.587192,-0.5512665,-5.0289
226261_at,ZNRF2,-0.10889302,0.1911706,-1.3500886,-4.5381
229188_s_at,ZNRF2,-0.05764217,0.4037048,-0.8519893,-4.8879
231092_s_at,ZNRF1,-0.13366478,0.0784718,-1.8484982,-4.0681
225959_s_at,ZNRF1,0.10732746,0.244586,1.196693,-4.6601
225962_at,ZNRF1,0.11523432,0.3070781,1.046481,-4.7676
223383_at,ZNRF1,0.10024118,0.3404135,0.975203,-4.8142
223382_s_at,ZNRF1,0.06161931,0.3833035,0.8902131,-4.866
225960_at,ZNRF1,-0.04619201,0.4269706,-0.8098811,-4.9111
234866_s_at,ZNRD1ASP,-0.09320765,0.0657704,-1.9397986,-3.9716
242557_at,ZNRD1ASP,0.05264533,0.5281221,0.6413808,-4.9926
234445_at,ZNRD1ASP,0.04837372,0.6267838,0.4933981,-5.0494
234115_s_at,ZNRD1,-0.1629794,0.0148639,-2.6502932,-3.1441
234530_s_at,ZNRD1,-0.10451908,0.2153842,-1.2769244,-4.5978
227673_at,ZNRD1,-0.07371176,0.2523762,-1.1765244,-4.6752
234114_at,ZNRD1,-0.05243741,0.5133134,-0.6648066,-4.9824
228009_x_at,ZNRD1,-0.02224457,0.7040784,-0.3849716,-5.0818
223639_s_at,ZNRD1,-0.02434379,0.7400958,-0.3360871,-5.0939
233005_at,ZNHIT6,0.06195291,0.3441263,0.9675687,-4.8191
218932_at,ZNHIT6,0.00965398,0.9038158,0.1222911,-5.1275
212544_at,ZNHIT3,0.15902601,0.1475578,1.5028992,-4.4053
219050_s_at,ZNHIT2,-0.11929051,0.071425,-1.8973963,-4.0167
222814_s_at,ZNHIT2,0.15373023,0.2317034,1.2311345,-4.6337
227734_s_at,ZNHIT2,0.01713423,0.7969865,0.2604938,-5.1093
201541_s_at,ZNHIT1,0.09610321,0.2270535,1.2439232,-4.6238
225076_s_at,ZNFX1,-0.10000794,0.1093764,-1.670926,-4.2473
1553883_at,ZNF99,0.05131458,0.2803172,1.1077836,-4.7252
1553885_x_at,ZNF99,0.01205357,0.8094433,0.2441622,-5.1122
215758_x_at,ZNF93,0.0654397,0.3875921,0.88207,-4.8708
1569241_a_at,ZNF93,-0.09749619,0.615015,-0.510413,-5.0436
208119_s_at,ZNF93,0.01170729,0.8811529,0.1513141,-5.1248
1569240_at,ZNF93,0.00037307,0.9960296,0.0050349,-5.1327
235170_at,ZNF92,0.07561411,0.4476863,0.7735801,-4.9301
1564962_at,ZNF92,0.02794593,0.7805356,0.2821741,-5.1053
1564963_x_at,ZNF92,0.01518818,0.8492654,0.1923837,-5.1199
206059_at,ZNF91,0.51195526,0.0438347,2.142829,-3.7476
244259_s_at,ZNF91,0.1020086,0.1171101,1.6333106,-4.2837
1569277_at,ZNF91,0.07388076,0.1376464,1.5426792,-4.3689
1562055_at,ZNF91,-0.06484736,0.3225952,-1.0126628,-4.7901
236128_at,ZNF91,-0.04246867,0.6275756,-0.4922586,-5.0498
233671_at,ZNF91,-0.03457496,0.6446382,-0.4678623,-5.0577
233672_s_at,ZNF91,-0.01881886,0.7683138,-0.2983704,-5.1021
1562133_x_at,ZNF90,0.02759976,0.6033942,0.5273652,-5.0376
1569283_at,ZNF891,-0.04717193,0.4637562,-0.7461204,-4.944
232863_at,ZNF890P///ZNF815P,-0.05067002,0.5010503,-0.6844924,-4.9735
230876_at,ZNF883,0.21553078,0.0862768,1.7986202,-4.1196
232315_at,ZNF880,-0.03564316,0.9138736,-0.1094466,-5.1286
235913_at,ZNF880,-0.00126076,0.9863628,-0.0172945,-5.1326
230421_at,ZNF879,-0.00458156,0.9404602,-0.0755787,-5.1307
1569468_at,ZNF876P,-0.05927715,0.3683088,-0.9191656,-4.8489
238665_at,ZNF865,-0.13397575,0.0597363,-1.9887574,-3.9187
241964_at,ZNF865,-0.06510496,0.3769607,-0.9023669,-4.8589
213444_at,ZNF862,-0.06375341,0.1913792,-1.3494282,-4.5387
226808_at,ZNF862,-0.01065249,0.8872955,-0.1434356,-5.1256
234397_at,ZNF861P /// ZNF861P,-0.07601554,0.4075996,-0.8448346,-4.892
228270_at,ZNF853,-0.11080709,0.0620635,-1.9693775,-3.9397
232884_s_at,ZNF853,-0.01949748,0.8051823,-0.2497408,-5.1112
1564662_at,ZNF852,-0.03910183,0.550306,-0.6069474,-5.0071
244640_at,ZNF850,0.08555893,0.2279608,1.2414124,-4.6258
1554445_at,ZNF85,0.06146455,0.3868049,0.8835603,-4.8699
206572_x_at,ZNF85,-0.02121571,0.7310896,-0.3482279,-5.091
228346_at,ZNF844,0.05717073,0.3878443,0.881593,-4.8711
1558537_x_at,ZNF844,0.04244741,0.5946099,0.5402842,-5.0329
1564362_x_at,ZNF843,-0.03894214,0.5749019,-0.5696151,-5.0219
1555078_at,ZNF843,0.03823893,0.5853436,0.5540136,-5.0278
204453_at,ZNF84,-0.05287202,0.3380135,-0.9801684,-4.8111
228630_at,ZNF84,-0.03604989,0.4858894,-0.7092124,-4.9619
221709_s_at,ZNF839,0.09129006,0.1082794,1.6764426,-4.2419
219086_at,ZNF839,-0.07996116,0.125714,-1.5938424,-4.3212
1556822_s_at,ZNF837,-0.07846103,0.231465,-1.2317855,-4.6332
241277_x_at,ZNF837,-0.04285773,0.5026225,-0.6819534,-4.9746
1569077_x_at,ZNF836,-0.05242052,0.5063246,-0.6759927,-4.9773
1569076_a_at,ZNF836,-0.04403298,0.5880935,-0.549928,-5.0294
215826_x_at,ZNF835,-0.1324785,0.0155843,-2.6288639,-3.1706
1558826_at,ZNF831,0.12871023,0.0367139,2.2289914,-3.6491
1558827_a_at,ZNF831,-0.03253242,0.570886,-0.5756536,-5.0196
