Pathway,name,value
Lactate-Shuttle,MIR126,1
Lactate-Shuttle,MIR15A,1
Lactate-Shuttle,MIR107,1
Lactate-Shuttle,MIR17,1
Lactate-Shuttle,MIR29A,1
Lactate-Shuttle,DNMT3A,1
Lactate-Shuttle,MIR1-1,1
Lactate-Shuttle,MIR125A,1
Lactate-Shuttle,MIR21,1
Lactate-Shuttle,MIR221,1
Lactate-Shuttle,MIR222,1
Lactate-Shuttle,MIR145,1
Lactate-Shuttle,MIR200C,1
Lactate-Shuttle,MIR100,1
Lactate-Shuttle,FSCN1,1
Lactate-Shuttle,MIR203B,1
Lactate-Shuttle,MIR99A,1
Lactate-Shuttle,TP63,1
Lactate-Shuttle,MIR143,1
Lactate-Shuttle,MIR23A,1
Lactate-Shuttle,MIR27A,1
Lactate-Shuttle,MIR27B,1
Lactate-Shuttle,MIR31,1
Lactate-Shuttle,ST14,1
Lactate-Shuttle,CYP1B1,1
Lactate-Shuttle,MIR192,1
Lactate-Shuttle,MIR194-1,1
Lactate-Shuttle,PDCD4,1
Lactate-Shuttle,MIR215,1
Lactate-Shuttle,MIR28,1
Lactate-Shuttle,MIR30A,1
Lactate-Shuttle,MIRLET7C,1
Lactate-Shuttle,MIR155,1
Lactate-Shuttle,MIR10B,1
Lactate-Shuttle,MIR224,1
Lactate-Shuttle,MIR602,1
Lactate-Shuttle,MIR494,1
Lactate-Shuttle,MIR615,1
Lactate-Shuttle,MIR199B,1
Lactate-Shuttle,MIR20A,1
Lactate-Shuttle,MIR324,1
Lactate-Shuttle,MIR363,1
Lactate-Shuttle,MIR625,1
Lactate-Shuttle,MIR23C,1
Lactate-Shuttle,MIR122,1
Lactate-Shuttle,MIR125B1,1
Lactate-Shuttle,MIR92A1,1
Lactate-Shuttle,MIR150,1
Lactate-Shuttle,MIR223,1
Lactate-Shuttle,MIR342,1
Lactate-Shuttle,STMN1,1
Lactate-Shuttle,MIR25,1
Lactate-Shuttle,MIR34A,1
Lactate-Shuttle,MIR96,1
Lactate-Shuttle,HOXD10,1
Lactate-Shuttle,PAK4,1
Lactate-Shuttle,MIR483,1
Lactate-Shuttle,PIM1,1
Lactate-Shuttle,HDAC5,1
Lactate-Shuttle,FOXP1,1
Lactate-Shuttle,MIR141,1
Lactate-Shuttle,TGFB2,1
Lactate-Shuttle,MIR183,1
Lactate-Shuttle,TIMP3,1
Lactate-Shuttle,MIR205,1
Lactate-Shuttle,MIR375,1
Lactate-Shuttle,SPRY2,1
Lactate-Shuttle,SERPINB5,1
Lactate-Shuttle,CYP24A1,1
Lactate-Shuttle,SLC7A1,1
Lactate-Shuttle,CCNG1,1
Lactate-Shuttle,MIR423,1
Lactate-Shuttle,MIR26A1,1
Lactate-Shuttle,MIR152,1
Lactate-Shuttle,MIR135A1,1
Lactate-Shuttle,MIR18A,1
Lactate-Shuttle,MIR200A,1
Lactate-Shuttle,PIK3R1,1
Lactate-Shuttle,MIR124-1,1
Lactate-Shuttle,MIR137,1
Lactate-Shuttle,MIR128-1,1
Lactate-Shuttle,E2F3,1
Lactate-Shuttle,MIR7-1,1
Lactate-Shuttle,MIR326,1
Lactate-Shuttle,MIR146A,1
Lactate-Shuttle,MMP16,1
Lactate-Shuttle,RECK,1
Lactate-Shuttle,ZEB2,1
Lactate-Shuttle,MIR106B,1
Lactate-Shuttle,MIR32,1
Lactate-Shuttle,MIR330,1
Lactate-Shuttle,MIR373,1
Lactate-Shuttle,E2F2,1
Lactate-Shuttle,VIM,1
Lactate-Shuttle,MARCKS,1
Lactate-Shuttle,MIR449A,1
Lactate-Shuttle,MIR101-1,1
Lactate-Shuttle,MIR331,1
Lactate-Shuttle,EZH2,1
Lactate-Shuttle,WNT3,1
Lactate-Shuttle,CDCA5,1
Lactate-Shuttle,KIF23,1
Lactate-Shuttle,ZFPM2,1
Lactate-Shuttle,UBE2I,1
Lactate-Shuttle,MIR181A2,1
Lactate-Shuttle,MIR335,1
Lactate-Shuttle,SOX4,1
Lactate-Shuttle,TNC,1
Lactate-Shuttle,MIR206,1
Lactate-Shuttle,MIR520E,1
Lactate-Shuttle,MIR103B1,1
Lactate-Shuttle,DICER1,1
Lactate-Shuttle,RDX,1
Lactate-Shuttle,MIR193B,1
Lactate-Shuttle,MIR451A,1
Lactate-Shuttle,MIR345,1
Lactate-Shuttle,ABCC1,1
Lactate-Shuttle,IGF2BP1,1
Lactate-Shuttle,TRIM71,1
Lactate-Shuttle,MIR34B,1
Lactate-Shuttle,MIR34C,1
Lactate-Shuttle,MIR214,1
Lactate-Shuttle,MIR9-1,1
Lactate-Shuttle,MIR199A1,1
Lactate-Shuttle,MIR210,1
Lactate-Shuttle,MIR19A,1
Lactate-Shuttle,MIR195,1
Lactate-Shuttle,MIR129-1,1
Lactate-Shuttle,FGFR3,1
Lactate-Shuttle,MDM4,1
Lactate-Shuttle,SHC1,1
Lactate-Shuttle,SHC4,1
Lactate-Shuttle,BMF,1
Lactate-Shuttle,MIR520C,1
Glutamate-Receptors,MAS1,1
Glutamate-Receptors,MCHR1,1
Glutamate-Receptors,TACR3,1
Glutamate-Receptors,TACR2,1
Glutamate-Receptors,KISS1R,1
Glutamate-Receptors,NR3C1,1
Glutamate-Receptors,TSPO,1
Glutamate-Receptors,TRPV1,1
Glutamate-Receptors,GLRA1,1
Glutamate-Receptors,P2RX2,1
Glutamate-Receptors,PRLHR,1
Glutamate-Receptors,NPBWR1,1
Glutamate-Receptors,MLNR,1
Glutamate-Receptors,GPR156,1
Glutamate-Receptors,VIPR1,1
Glutamate-Receptors,PTH1R,1
Glutamate-Receptors,GIPR,1
Glutamate-Receptors,CALCRL,1
Glutamate-Receptors,CYSLTR1,1
Glutamate-Receptors,RXFP2,1
Glutamate-Receptors,LTB4R,1
Glutamate-Receptors,MTNR1A,1
Glutamate-Receptors,TRHR,1
Glutamate-Receptors,GNRHR,1
Glutamate-Receptors,PTAFR,1
Glutamate-Receptors,ADORA1,1
Glutamate-Receptors,TBXA2R,1
Glutamate-Receptors,PTGIR,1
Glutamate-Receptors,PTGFR,1
Glutamate-Receptors,PTGDR,1
Glutamate-Receptors,FSHR,1
Glutamate-Receptors,NMUR1,1
Glutamate-Receptors,UTS2R,1
Glutamate-Receptors,NPFFR2,1
Glutamate-Receptors,HCRTR1,1
