Term,ID,Source_Sheet,Source_DB,Gene
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,HSPE1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,IKBKB
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,KRT19
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,"NAIP"
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,NDUFS1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,PAK2
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,4-Sep
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,MAPK1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,MAPK8
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,PTK2
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,PTMA
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,RB1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,ROCK1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,SPTAN1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,HSPA13
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,MAP3K7
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,TRAF2
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,ANP32A
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,BCL10
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,AIP
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,RNF41
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,TAB1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,LAMTOR5
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CAPN9
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CAPN11
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CAPN10
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,NLRP1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,ACIN1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CAPN7
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,GSPT2
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,APIP
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,HSPA14
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,MZB1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CYCS
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,XAF1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,UACA
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,STRADB
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,DIABLO
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,BIRC6
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,BIRC7
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CAPNS2
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CAPN13
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CAPN12
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,COMMD1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CAPN8
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CAPN14
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,AP2A1
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,JAG1
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,AKT1
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,ARF1
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,BAD
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,BTK
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,AP2M1
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,GSK3A
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,GSK3B
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,GTF3A
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,LYN
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,PDPK1
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,PFKL
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,PFKM
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,PFKP
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,PLCG1
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,PRKCE
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,PRKCZ
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,RAB5A
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,RAC1
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,RPS6KB1
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,VAV2
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,EEA1
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,ARHGEF2
Phosphoinositides and their downstream targets,bioplanet_102,Gluconeogenesis,bioplanet,GRASP
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,ABL1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,BIRC5
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,ARF1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,ATM
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,ATR
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CCND1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,BRCA1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,BUB1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,BUB1B
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CCNA2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CCNB1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CCND2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CCND3
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CCNE1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CCNH
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDK1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDK11B
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDC6
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDC20
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDC25A
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDC25B
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDC25C
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDC27
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDH1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDK2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDK4
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDK6
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDK7
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDKN1A
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDKN1B
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDKN1C
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDKN2A
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDKN2B
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDKN2C
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDKN2D
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CENPA
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CENPC
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CENPE
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CENPF
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CETN2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CHEK1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CKS1B
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CREBBP
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CSNK1D
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CSNK1E
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,DCTN1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,GADD45A
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,DHFR
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,DKC1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,DNA2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,DYNC1H1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,DYNC1I2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,DYRK1A
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,E2F1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,E2F2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,E2F3
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,E2F4
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,E2F5
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,E2F6
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,EP300
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,FEN1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CENPI
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,SFN
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,GSK3B
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,HIST1H2AD
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,H2AFX
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,H2AFZ
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,HIST1H2BD
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,HIST1H2BB
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,HDAC1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,HDAC2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,HSPA2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,HSP90AA1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,HUS1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,INCENP
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,KIF2A
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,LIG1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,LMNA
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,LMNB1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,MAD2L1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,SMAD2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,SMAD3
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,SMAD4
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,MAX
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,MCM2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,MCM3
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,MCM4
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,MCM5
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,MCM6
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,MCM7
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,MDM2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,MEN1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,KITLG
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,MNAT1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,MYBL2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,MYC
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,GADD45B
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,NEK2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,NPM1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,NUMA1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,NUP98
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,ODF2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,ORC1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,ORC2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,ORC4
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,ORC5
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PAFAH1B1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PCM1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PCNA
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PCNT
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PLK1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,POLA1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,POLD1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,POLD2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,POLE
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,POLE2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PPP1CC
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PPP2CA
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PPP2CB
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PPP2R1A
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PPP2R1B
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PPP2R2A
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PPP2R5A
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PPP2R5B
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PPP2R5C
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PPP2R5D
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PPP2R5E
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PRIM1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PRIM2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PRKACA
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PRKAR2B
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PRKDC
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMA1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMA2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMA3
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMA4
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMA5
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMA6
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMA7
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMB1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMB2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMB3
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMB4
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMB5
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMB6
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMB7
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMB8
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMB9
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMB10
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMC1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMC2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMC3
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMC4
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMC5
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMC6
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMD1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMD2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMD3
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMD4
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMD5
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMD7
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMD8
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMD9
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMD10
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMD11
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMD12
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSMD13
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSME1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,PSME2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RAD1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RAD9A
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RAD17
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RAD21
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RANBP2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RANGAP1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RB1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RBBP4
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RBBP7
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RBL1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RBL2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RFC1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RFC2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RFC3
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RFC4
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RFC5
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RPA1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RPA2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RPA3
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RPS27
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RPS27A
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,RRM2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CLIP1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,SEC13
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,SKP1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,SKP2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,AURKA
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,SYCP1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,TERF1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,TERF2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,TERT
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,TFDP1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,TFDP2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,TGFB1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,TGFB2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,TGFB3
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,TK2
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,TOP2A
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,TP53
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,TTK
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,TUBA4A
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,TUBG1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,TYMS
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,UBA52
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,UBB
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,UBC
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,UBE2D1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,UBE2E1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,UBE2I
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,WEE1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,XPO1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,YWHAB
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,YWHAE
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,YWHAG
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,YWHAH
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,YWHAZ
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,ZBTB17
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,ALMS1
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,TUBA1A
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,SMC1A
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,HIST3H3
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDC7
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,CDC45
Cell cycle,bioplanet_1025,Gluconeogenesis,bioplanet,HIST1H2AJ
