Term,ID,Source_Sheet,Source_DB,Gene
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,ACHE
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,PARP1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,APAF1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,BIRC2
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,BIRC3
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,XIAP
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,BIRC5
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CAPN5
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CAD
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CAPN1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CAPN2
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CAPN3
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CAPNS1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CAPN6
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CASP3
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CASP6
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CASP7
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CASP9
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CHEK1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,CYC1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,DFFA
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,DNASE1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,GAS2
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,GSN
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,HSPA1A
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,HSPA1B
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,HSPA2
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,HSPA4
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,HSPB1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,HSP90AA1
Mitochondrial pathway of apoptosis: caspases,bioplanet_1017,Gluconeogenesis,bioplanet,HSPD1
