Gene,Gluconeogenesis,Glycolysis,Lactate-Shuttle,HMP-Shunt-Glutathione,TCA,Glycogenesis,Glycogenolysis,Various-Metabolites,ETC,FA-Synthesis,FA-Oxidation,Ketosis,Urea-Cycle,Glutamate-Receptors
SLC2A2,"WP, KEGG, BP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",,"KEGG, BP, WP","KEGG, BP, WP","BP, WP",,
SLC2A4,"WP, KEGG, BP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",KEGG,"KEGG, BP, WP","KEGG, BP, WP",WP,,KEGG
SLC2A5,"WP, BP","KEGG, BP, WP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",,WP,WP,WP,,
TPI1,"WP, KEGG, BP","BP, KEGG, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,"BP, WP","BP, WP",BP,BP,BP
ABCG5,"WP, BP",BP,"KEGG, BP, WP","BP, WP",BP,"BP, WP","BP, WP","KEGG, BP",BP,"BP, WP","BP, WP","BP, WP",BP,
ABCG8,"WP, BP",BP,"KEGG, BP, WP","BP, WP",BP,"BP, WP","BP, WP","KEGG, BP",BP,"BP, WP","BP, WP","BP, WP",BP,
CBL,"WP, KEGG, BP","BP, KEGG, WP","KEGG, BP, WP",WP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,,"KEGG, BP, WP",BP,BP,BP,"BP, WP"
CBLB,"WP, BP","BP, WP","BP, WP",,BP,"BP, KEGG, WP","BP, WP",,,"BP, WP",,,,
CRK,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",BP,,"KEGG, BP, WP",BP,BP,BP,"KEGG, BP, WP"
CYP2B6,"WP, BP",BP,"BP, WP","KEGG, BP, WP",BP,"BP, WP","BP, WP",BP,BP,"BP, WP","BP, WP","BP, WP",BP,
CYP3A4,"WP, BP",BP,"KEGG, BP, WP","BP, WP",BP,"BP, WP","BP, WP",BP,BP,"BP, WP","BP, WP","BP, WP",BP,BP
CYP7A1,"WP, KEGG, BP",BP,"KEGG, BP, WP","BP, WP",BP,"BP, WP","BP, WP",BP,BP,"BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,
DIO2,"WP, BP, KEGG","KEGG, BP","KEGG, BP, WP","BP, WP",BP,"KEGG, BP, WP","BP, WP",BP,BP,"BP, WP",BP,BP,BP,
EIF4E,"WP, KEGG, BP","BP, KEGG, WP","KEGG, BP, WP",WP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP",WP,,BP,"BP, WP"
