Gene,Gluconeogenesis,Glycolysis,Lactate-Shuttle,HMP-Shunt-Glutathione,TCA,Glycogenesis,Glycogenolysis,Various-Metabolites,ETC,FA-Synthesis,FA-Oxidation,Ketosis,Urea-Cycle,Glutamate-Receptors
DDC,"WP, BP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","BP, KEGG, WP","BP, WP",BP,"KEGG, BP, WP","BP, WP","BP, WP","KEGG, WP"
EHHADH,"WP, KEGG, BP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP",BP,"BP, WP","BP, WP","BP, WP","BP, WP","BP, KEGG, WP","KEGG, BP, WP","BP, WP",
FAH,"WP, BP","BP, WP","BP, WP","BP, WP","BP, WP",BP,"BP, WP","BP, KEGG, WP","BP, WP",BP,BP,"BP, WP","BP, WP",
GLUD1,"WP, KEGG, BP","BP, WP","BP, KEGG, WP","BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP",
GLUL,"WP, BP","BP, WP","BP, KEGG, WP","BP, WP","KEGG, BP, WP",BP,"KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP","KEGG, BP, WP","KEGG, BP"
GSR,"WP, BP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP","KEGG, BP","BP, WP","BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","BP, WP","BP, WP",WP
GSS,"WP, BP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,"KEGG, BP, WP","BP, WP","BP, WP",
HADH,"WP, BP","BP, WP","BP, WP","BP, WP","BP, WP","BP, WP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",WP
HIBADH,"WP, BP","BP, WP","BP, WP","BP, WP","BP, KEGG, WP",BP,"BP, WP","BP, WP","BP, WP",BP,"KEGG, BP","KEGG, BP, WP","BP, WP",
HIBCH,"WP, BP","BP, WP","KEGG, BP, WP","BP, WP","BP, KEGG, WP",BP,"BP, WP","BP, WP","BP, WP","KEGG, BP","KEGG, BP","KEGG, BP, WP","BP, WP",
HMGCL,"WP, BP","BP, WP","BP, WP","BP, WP","BP, KEGG, WP",BP,"BP, WP","BP, WP","BP, WP",BP,"KEGG, BP","KEGG, BP, WP","BP, WP",
MAOA,"WP, BP","KEGG, BP, WP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP"
MCCC1,"WP, BP","BP, WP","BP, WP","BP, WP","BP, KEGG, WP",BP,"BP, WP","BP, WP","BP, WP","BP, WP","KEGG, BP","KEGG, BP, WP","BP, WP",
MPST,"WP, BP","BP, WP","BP, KEGG, WP","BP, WP","KEGG, BP, WP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP","BP, WP",
OAT,"WP, BP","BP, WP","BP, WP","BP, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP","KEGG, BP, WP",
ODC1,"WP, BP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","BP, WP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP","KEGG, BP, WP",BP
OTC,"WP, BP","BP, WP","BP, KEGG, WP","BP, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP","KEGG, BP, WP",
PNMT,"WP, BP","BP, WP","BP, WP","BP, WP","BP, WP",BP,"BP, WP","BP, KEGG, WP","BP, WP",BP,BP,"BP, WP","BP, WP",
SDS,"WP, BP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","BP, KEGG, WP","BP, WP","BP, WP","KEGG, BP, WP","BP, WP","BP, WP",BP,"BP, WP","BP, WP",
SMS,"WP, BP","BP, WP","BP, KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP","KEGG, BP, WP",
SRM,"WP, BP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP","KEGG, BP, WP",BP
TAT,"WP, BP","BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP",BP,"BP, WP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP","BP, WP",
TDO2,"WP, BP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP",BP,"BP, WP","BP, WP","BP, WP",BP,"KEGG, BP, WP","BP, WP","BP, WP",
TH,"WP, BP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"BP, WP","BP, WP","BP, WP","KEGG, WP"
TPO,"WP, BP","BP, WP","BP, WP","KEGG, BP, WP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","BP, WP",BP,BP,"BP, WP","BP, WP",
ACACA,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,"BP, KEGG, WP","KEGG, BP, WP","BP, WP",BP,
ACACB,"WP, KEGG, BP","BP, KEGG, WP","KEGG, BP, WP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP","KEGG, BP, WP","BP, WP","BP, WP",WP
AKT3,"WP, KEGG, BP","BP, KEGG, WP","KEGG, BP, WP",KEGG,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, WP","KEGG, BP, WP","KEGG, BP",BP,"KEGG, BP","KEGG, BP, WP"
ANGPT1,"WP, BP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, BP, WP","KEGG, BP, WP",WP,BP,,"BP, WP",BP,BP,BP,
ANGPT2,WP,"BP, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP",WP,BP,,"BP, WP",BP,BP,BP,BP
ATF2,WP,WP,WP,WP,"KEGG, BP, WP","BP, WP",WP,BP,KEGG,WP,"KEGG, BP, WP",,BP,
ATF4,WP,"BP, KEGG, WP","BP, WP","KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",WP,,"KEGG, BP, WP",WP,"BP, WP",BP,BP,"KEGG, BP, WP"
BAD,"WP, KEGG, BP","BP, KEGG, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, BP","KEGG, BP, WP","BP, WP",,"BP, WP","KEGG, BP, WP"
BCL2,"WP, BP, KEGG","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",WP,"KEGG, BP","BP, WP","BP, WP",BP,"KEGG, BP, WP","KEGG, BP, WP"
BCL2L1,"WP, KEGG","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,KEGG,"BP, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP"
BCL2L11,"WP, BP, KEGG","KEGG, WP",KEGG,,"KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, WP","BP, WP",BP,,BP,"KEGG, BP, WP"
BDNF,"WP, BP","BP, WP","KEGG, WP","KEGG, BP","KEGG, BP","KEGG, BP, WP",WP,,"KEGG, BP",WP,WP,,WP,"KEGG, BP, WP"
BRCA1,"WP, KEGG",BP,"KEGG, BP",,BP,"BP, KEGG, WP","KEGG, WP",,BP,,,BP,BP,
CASP9,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, BP",WP,BP,BP,BP,"KEGG, BP, WP"
CCND1,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP","KEGG, BP, WP","BP, WP","BP, WP","KEGG, BP, WP"
CCND2,"WP, BP",BP,"KEGG, BP",,BP,"BP, KEGG, WP","BP, WP",BP,BP,,BP,BP,BP,"KEGG, BP"
CCNE1,WP,"KEGG, BP","KEGG, BP, WP",WP,"KEGG, BP","BP, KEGG, WP",WP,BP,BP,,BP,BP,BP,BP
CD19,"WP, KEGG",,,,,"BP, KEGG, WP","KEGG, WP",,,,,,,
CDC37,"WP, KEGG",,"BP, WP",WP,BP,"BP, KEGG, WP","KEGG, BP, WP",,,WP,"BP, WP",WP,,BP
CDK2,"WP, KEGG, BP","KEGG, BP","KEGG, BP, WP",WP,"KEGG, BP","BP, KEGG, WP","KEGG, BP, WP",BP,BP,BP,BP,BP,"BP, WP","KEGG, BP, WP"
CDK4,"WP, BP","KEGG, BP","KEGG, BP, WP",WP,"KEGG, BP","BP, KEGG, WP",WP,BP,BP,WP,WP,WP,"BP, WP",WP
CDK6,WP,"KEGG, BP","KEGG, BP",BP,BP,"BP, WP",WP,BP,,BP,BP,BP,BP,WP
CDKN1A,"WP, KEGG, BP","KEGG, BP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",BP,BP,"BP, WP","BP, WP",BP,BP,"KEGG, BP, WP"
CDKN1B,"WP, KEGG, BP","KEGG, BP","KEGG, BP, WP",WP,"KEGG, BP","BP, KEGG, WP","KEGG, BP, WP",BP,BP,WP,"BP, WP","BP, WP","BP, WP","KEGG, BP, WP"
CHRM1,WP,KEGG,WP,"KEGG, WP",KEGG,"KEGG, BP, WP",WP,,KEGG,WP,WP,,,"BP, KEGG, WP"
CHUK,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, BP","BP, KEGG, WP","KEGG, BP, WP",,KEGG,"KEGG, BP, WP","KEGG, BP, WP",,"KEGG, BP, WP","KEGG, BP, WP"
COL1A1,"WP, BP","BP, KEGG, WP","KEGG, BP, WP","KEGG, BP","KEGG, BP","KEGG, BP, WP",WP,BP,KEGG,"BP, WP","KEGG, BP, WP",BP,"KEGG, BP, WP","BP, WP"
CREB1,"WP, BP","BP, WP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","BP, WP",,BP,"BP, WP","BP, WP","BP, WP",BP,"KEGG, BP, WP"
CREB3,"WP, KEGG",KEGG,"KEGG, WP","KEGG, BP","KEGG, BP","BP, KEGG, WP","KEGG, WP",,"KEGG, BP","KEGG, WP","KEGG, WP",,,"KEGG, BP"
CSF1,"WP, KEGG","BP, KEGG, WP","BP, WP","KEGG, BP, WP","KEGG, BP","KEGG, BP, WP","KEGG, WP",BP,KEGG,"BP, WP",BP,BP,BP,"KEGG, BP, WP"
CSF1R,"WP, KEGG",BP,"KEGG, BP, WP",,"KEGG, BP","KEGG, BP, WP","KEGG, WP",,BP,WP,,,BP,"KEGG, WP"
CSF3,"WP, KEGG",BP,"BP, WP",BP,BP,"KEGG, BP, WP","KEGG, WP",BP,BP,WP,BP,BP,BP,BP
CSF3R,"WP, KEGG",,"KEGG, BP, WP",,"KEGG, BP","KEGG, BP, WP","KEGG, WP",,,WP,BP,,,
CSH1,WP,BP,"BP, WP",,,"KEGG, BP, WP",WP,,,WP,BP,BP,,"KEGG, BP"
DDIT4,"WP, KEGG",BP,"KEGG, BP, WP","BP, WP",BP,"KEGG, BP, WP","KEGG, WP",BP,,"BP, WP",BP,BP,BP,
EFNA1,WP,BP,"KEGG, BP, WP",BP,,"KEGG, BP, WP",WP,BP,,WP,BP,BP,,BP
EGF,"WP, KEGG","KEGG, BP","KEGG, BP, WP",,"KEGG, BP","BP, KEGG, WP","KEGG, WP",,,WP,BP,,,"KEGG, BP, WP"
EGFR,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, WP","BP, WP",,WP,"BP, WP","BP, WP","BP, WP","KEGG, BP, WP"
EIF4B,"WP, KEGG",,WP,,BP,"BP, KEGG, WP","KEGG, WP",,BP,WP,,,,BP
EPHA2,WP,"BP, WP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP",WP,BP,,"BP, WP","BP, WP","BP, WP",BP,WP
EPO,WP,"KEGG, BP, WP","BP, KEGG, WP",,"KEGG, WP","KEGG, BP, WP","BP, WP",,,WP,,,,BP
F2R,WP,BP,"BP, WP",BP,BP,"BP, WP",WP,BP,BP,"BP, WP",BP,BP,BP,"BP, KEGG, WP"
FASLG,"WP, BP, KEGG","KEGG, BP, WP","KEGG, BP, WP","KEGG, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, BP, WP",WP,"BP, WP",BP,"BP, WP","KEGG, BP, WP"
FGF1,WP,,"BP, KEGG, WP",,"KEGG, BP","KEGG, BP, WP",WP,,,WP,BP,,,BP
FGF14,WP,,"BP, WP",,BP,"BP, WP",WP,,,WP,,,,KEGG
FGF2,WP,,"BP, WP",,BP,"BP, KEGG, WP",WP,,,WP,BP,"BP, WP",,"BP, WP"
FGF21,WP,,"BP, WP",,"KEGG, BP, WP","BP, WP",WP,,KEGG,WP,"KEGG, WP",WP,,
FGFR1,"WP, BP",BP,"KEGG, BP, WP",,"KEGG, BP","KEGG, BP, WP",WP,WP,"KEGG, BP",WP,"KEGG, BP, WP","BP, WP",BP,"BP, WP"
FGFR2,WP,WP,"BP, WP",,BP,"BP, KEGG, WP",WP,WP,,WP,BP,,,"BP, WP"
FGFR3,WP,,"KEGG, BP, WP",,BP,"BP, WP",WP,,,WP,BP,"BP, WP",,"BP, WP"
FLT1,WP,"BP, KEGG, WP","KEGG, BP, WP",WP,"KEGG, WP","KEGG, BP, WP",WP,BP,,WP,BP,BP,,"KEGG, BP, WP"
FLT3,WP,,"BP, KEGG",,"KEGG, BP","KEGG, BP, WP",WP,,,,,,,"KEGG, WP"
FLT3LG,WP,BP,"KEGG, BP",,"KEGG, BP","KEGG, BP, WP",WP,,,,BP,BP,,BP
FLT4,WP,,"KEGG, WP",BP,KEGG,"KEGG, BP, WP",WP,,,WP,,,,"BP, WP"
FN1,WP,"BP, WP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP",WP,BP,,"BP, WP","BP, WP",BP,"KEGG, BP, WP","BP, WP"
GHR,WP,,WP,,,"KEGG, BP, WP",WP,,,WP,,"BP, WP",,"KEGG, BP"
GNB3,"WP, BP","BP, WP","BP, WP",BP,BP,"BP, WP","BP, WP",BP,BP,"BP, WP","BP, WP",BP,BP,"KEGG, BP, WP"
GNB5,"WP, BP, KEGG",BP,"KEGG, BP",BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,"BP, WP",BP,BP,"BP, WP","KEGG, BP, WP"
GRB2,"WP, BP, KEGG","KEGG, BP, WP","KEGG, BP, WP",WP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,KEGG,"KEGG, BP, WP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP"
HGF,WP,BP,"KEGG, BP, WP","BP, WP","KEGG, BP","KEGG, BP, WP",WP,BP,,"BP, WP","BP, WP","BP, WP",BP,BP
HSP90AA1,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,"BP, WP","BP, WP","BP, WP","BP, KEGG","KEGG, BP"
HSP90B1,WP,"BP, WP","BP, WP",KEGG,BP,"BP, WP",WP,,BP,WP,"BP, WP",,BP,WP
IFNA1,WP,"BP, KEGG","KEGG, BP",,BP,"KEGG, BP, WP","KEGG, WP",,BP,,,,BP,
IFNAR1,WP,"BP, KEGG","KEGG, BP, WP",,BP,"KEGG, BP, WP","KEGG, WP",,BP,WP,BP,,BP,
IFNAR2,WP,KEGG,WP,BP,,"KEGG, BP, WP",WP,,,WP,,,,
IFNB1,WP,"KEGG, BP","BP, WP",BP,,"KEGG, BP, WP",WP,,,WP,,,,
IGF1,"WP, KEGG, BP","KEGG, BP","KEGG, BP, WP",BP,"KEGG, BP","BP, KEGG, WP","KEGG, WP",BP,,"KEGG, BP, WP","KEGG, BP","BP, WP",BP,"KEGG, BP, WP"
IGF1R,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, BP","BP, KEGG, WP","KEGG, BP, WP",,,"KEGG, BP, WP",KEGG,"BP, WP",,"KEGG, BP, WP"
IGF2,"WP, BP",BP,BP,,BP,"KEGG, BP, WP",WP,,,,BP,"BP, WP",,WP
IKBKB,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",,"BP, WP","BP, WP"
IKBKG,"WP, BP","KEGG, BP","KEGG, BP, WP",WP,BP,"BP, KEGG, WP","BP, WP",,,"BP, WP",BP,BP,BP,"BP, WP"
IL2,WP,BP,"KEGG, BP, WP","BP, WP",BP,"BP, KEGG, WP",WP,,BP,WP,"BP, WP","BP, WP","BP, WP","BP, WP"
IL2RA,WP,"BP, WP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP",WP,,BP,WP,"BP, WP",BP,"BP, WP","BP, WP"
IL2RB,WP,BP,"KEGG, BP, WP",,,"BP, WP",WP,,,WP,BP,BP,,"KEGG, BP"
IL3,WP,BP,BP,,,"BP, WP",WP,,,,BP,BP,,"KEGG, BP"
IL4,WP,BP,BP,WP,BP,"BP, KEGG, WP",WP,,BP,,,,"BP, WP",WP
IL6,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, BP, WP","KEGG, BP, WP"
IL6R,WP,"KEGG, WP","KEGG, WP",,"KEGG, WP","BP, KEGG, WP",WP,,"KEGG, WP",WP,WP,,,WP
IL7R,"WP, KEGG",BP,"BP, WP",BP,BP,"BP, WP","KEGG, WP",,BP,WP,BP,BP,BP,"KEGG, BP"
ITGA11,"WP, KEGG","BP, KEGG","BP, WP",BP,BP,"KEGG, BP, WP","KEGG, WP",BP,,"BP, WP",BP,BP,BP,BP
ITGA2B,"WP, BP","BP, WP","BP, WP",,BP,"BP, WP",WP,,,WP,"BP, WP",BP,"KEGG, WP","BP, KEGG, WP"
ITGA4,WP,BP,"BP, WP",,,"KEGG, BP, WP",WP,BP,,WP,BP,BP,,BP
ITGA5,"WP, BP","KEGG, BP","KEGG, BP, WP",BP,,"KEGG, BP, WP",WP,,,WP,,,,BP
ITGA6,WP,BP,"KEGG, BP, WP",,"KEGG, BP","KEGG, BP, WP",WP,,,WP,,BP,,BP
ITGAV,"WP, KEGG, BP","BP, KEGG, WP","KEGG, BP, WP",WP,"BP, WP","KEGG, BP, WP",WP,BP,,WP,BP,BP,KEGG,BP
ITGB1,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",WP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, WP",,,WP,,BP,,BP
ITGB3,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",WP,WP,"KEGG, BP, WP",WP,,,WP,BP,,BP,BP
ITGB7,WP,BP,"BP, WP",,,"BP, WP",WP,,,WP,BP,BP,,"KEGG, BP"
JAK1,"WP, KEGG","KEGG, BP","KEGG, BP, WP",,"KEGG, BP","KEGG, BP, WP","KEGG, WP",,,"BP, WP",BP,BP,BP,BP
JAK2,"WP, KEGG, BP",BP,"KEGG, BP, WP",,,"KEGG, BP, WP","KEGG, BP, WP",,,"KEGG, BP, WP","KEGG, BP",BP,BP,"BP, WP"
JAK3,WP,"BP, KEGG","BP, WP",,,"BP, WP",WP,,,WP,BP,BP,BP,BP
KDR,WP,"BP, WP","BP, WP",WP,WP,"BP, WP",WP,,,WP,BP,BP,KEGG,"BP, WP"
KIT,WP,,"KEGG, BP, WP",,"KEGG, BP","KEGG, BP, WP",WP,,,WP,BP,,BP,"BP, WP"
KITLG,WP,WP,"KEGG, BP, WP",,"KEGG, BP","BP, KEGG, WP",WP,,,WP,WP,,WP,"KEGG, BP, WP"
KRAS,"WP, BP","BP, WP","KEGG, BP, WP",,BP,"KEGG, BP, WP","BP, WP",,BP,"BP, WP","BP, WP",BP,BP,"BP, WP"
LAMC1,"WP, BP",BP,"BP, WP",BP,"KEGG, BP","KEGG, BP, WP",WP,BP,KEGG,"BP, WP",BP,BP,BP,"KEGG, BP"
LAMC3,"WP, KEGG",KEGG,"KEGG, BP, WP",,"KEGG, BP","BP, KEGG, WP","KEGG, WP",,,WP,,,"KEGG, BP",BP
LPAR1,WP,"KEGG, BP","BP, WP",BP,BP,"BP, WP",WP,BP,,"BP, WP",BP,BP,BP,"BP, KEGG"
LPAR6,"WP, KEGG",,"KEGG, WP",,KEGG,"KEGG, BP, WP","KEGG, WP",,,WP,,,,"BP, KEGG"
MCL1,"WP, KEGG","BP, WP","KEGG, BP, WP",BP,"BP, WP","KEGG, BP, WP","KEGG, BP, WP",,BP,,,,BP,
MDM2,"WP, KEGG, BP","KEGG, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",BP,,"BP, WP",BP,,,"KEGG, BP, WP"
MET,"WP, BP","KEGG, BP","KEGG, BP, WP","BP, KEGG","KEGG, BP","KEGG, BP, WP",WP,BP,,WP,BP,,BP,"KEGG, WP"
MYB,"WP, KEGG","BP, WP","BP, WP",,BP,"KEGG, BP, WP","KEGG, WP",,BP,,"BP, WP",BP,BP,"BP, WP"
MYC,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",BP,BP,"BP, WP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP"
NFKB1,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, BP, WP","KEGG, BP, WP"
NGF,WP,WP,WP,,,"BP, KEGG, WP",WP,,,WP,WP,,,"BP, WP"
NGFR,WP,,WP,,,"BP, KEGG, WP",WP,,,WP,WP,,WP,"KEGG, BP, WP"
NOS3,"WP, KEGG, BP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP","KEGG, BP, WP","KEGG, BP",BP,"KEGG, BP, WP","KEGG, BP, WP"
NTF3,WP,,,,,"BP, KEGG, WP",WP,,,WP,,,,WP
NTF4,WP,,,BP,,"KEGG, BP, WP",WP,,,,,,,
NTRK1,WP,BP,BP,,BP,"KEGG, BP, WP",WP,,,"BP, WP","BP, WP",BP,,"KEGG, BP, WP"
NTRK2,WP,WP,WP,,,"BP, KEGG, WP",WP,,,WP,WP,,,"KEGG, BP, WP"
PDGFA,WP,BP,"KEGG, BP, WP",BP,"KEGG, BP","KEGG, BP, WP",WP,BP,,"BP, WP",BP,BP,"KEGG, BP","KEGG, BP"
PDGFB,WP,"BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP",WP,,,WP,"BP, WP",WP,BP,BP
PDGFRA,WP,"BP, WP","KEGG, BP, WP",BP,"KEGG, BP, WP","KEGG, BP, WP",WP,BP,,"BP, WP",BP,BP,BP,"BP, WP"
PDGFRB,WP,"KEGG, WP","KEGG, BP, WP",,"BP, WP","KEGG, BP, WP",WP,,,WP,,BP,,"BP, WP"
PIK3AP1,"WP, KEGG",,,,,"BP, KEGG, WP","KEGG, WP",,,,,,,
PIK3R6,"WP, KEGG, BP",BP,BP,BP,BP,"KEGG, BP, WP","KEGG, BP, WP",BP,BP,BP,BP,BP,BP,"KEGG, BP"
PKN1,WP,"KEGG, WP",,,,"BP, KEGG, WP",WP,,,WP,WP,,WP,WP
PPP2CA,"WP, BP","BP, WP","BP, WP","BP, WP","BP, WP","BP, KEGG, WP","BP, WP",BP,,"BP, WP",BP,,,"KEGG, BP, WP"
PPP2R3B,"WP, KEGG","KEGG, BP, WP",,,,"BP, KEGG, WP","KEGG, BP, WP",BP,,KEGG,KEGG,,,KEGG
PRKCA,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,KEGG,"BP, WP","BP, KEGG, WP",BP,"KEGG, BP, WP","KEGG, BP, WP"
PRL,WP,BP,"BP, WP",,BP,"BP, KEGG, WP",WP,,,WP,BP,BP,,"KEGG, BP"
PRLR,"WP, BP",BP,"BP, WP",,,"KEGG, BP, WP",WP,BP,,WP,BP,BP,,"KEGG, BP"
PTEN,"WP, BP, KEGG","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",BP,"BP, WP","KEGG, WP"
PTK2,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",WP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, WP",,,WP,,,"BP, KEGG","KEGG, BP, WP"
RAC1,"WP, KEGG, BP","BP, KEGG, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, BP, WP","BP, WP","KEGG, BP, WP",,"KEGG, BP, WP","KEGG, BP, WP"
RBL2,"WP, KEGG, BP","KEGG, BP",BP,BP,BP,"BP, KEGG, WP","KEGG, BP, WP",BP,,BP,BP,BP,BP,KEGG
RELA,"WP, BP","KEGG, BP, WP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","BP, WP",WP,"BP, WP","BP, WP","BP, WP",BP,"BP, WP","BP, WP"
RELN,WP,,WP,,,"BP, WP",WP,WP,,WP,,,,"BP, KEGG"
RPS6,"WP, KEGG, BP","BP, KEGG, WP","KEGG, BP, WP",WP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",BP,,"BP, WP"
SGK1,"WP, BP","BP, WP","BP, WP",,BP,"BP, KEGG, WP","BP, WP",,,BP,BP,BP,,"BP, WP"
STK11,"WP, KEGG, BP","KEGG, BP","BP, WP","BP, WP",,"KEGG, BP, WP","KEGG, BP, WP",,,"BP, KEGG, WP","KEGG, BP, WP",,,KEGG
SYK,"WP, KEGG","BP, KEGG",BP,,,"KEGG, BP, WP","KEGG, WP",,,,BP,BP,BP,"KEGG, BP"
TEK,WP,"KEGG, BP","BP, KEGG, WP",,KEGG,"KEGG, BP, WP",WP,,,WP,,,,WP
TGFA,WP,"BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP",WP,BP,,WP,"BP, WP","BP, WP",BP,"KEGG, BP, WP"
THBS1,"WP, BP",BP,"KEGG, BP, WP",WP,BP,"BP, WP",WP,,,WP,,,,KEGG
THEM4,"WP, KEGG",,BP,,BP,"BP, KEGG, WP","KEGG, WP",,,,BP,,,
TLR2,"WP, KEGG","BP, KEGG",BP,,BP,"KEGG, BP, WP","KEGG, WP",,BP,,BP,,"KEGG, BP",
