Term,ID,Source_Sheet,Source_DB,Gene
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,ENO2
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,ENO2
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,ENO3
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,ENO3
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,ENO3
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,ENO3
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,ENO3
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,ENO3
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,ENO3
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,FBP1
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,FBP1
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,FBP1
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,FBP1
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,FBP1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,FBP1
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,FBP1
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,FBP2
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,FBP2
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,FBP2
Glycolysis and Gluconeogenesis WP534,WP534,TCA,wikipathways,FBP2
Glycolysis and Gluconeogenesis WP534,WP534,Various-Metabolites,wikipathways,FBP2
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenesis,wikipathways,FBP2
Glycolysis and Gluconeogenesis WP534,WP534,Glycogenolysis,wikipathways,FBP2
Glycolysis and Gluconeogenesis WP534,WP534,Gluconeogenesis,wikipathways,G6PC
Glycolysis and Gluconeogenesis WP534,WP534,Glycolysis,wikipathways,G6PC
Glycolysis and Gluconeogenesis WP534,WP534,Lactate-Shuttle,wikipathways,G6PC
