HGNC_Symbol,Log2FC,P_Value,DataSet,Group,Sp
AANAT,0.02,0.86643,Iwamoto_BA10_BPD,BPD,Human
ABAT,-0.01,0.27038,Iwamoto_BA10_BPD,BPD,Human
ABCA1,-0.23,0.37017,Iwamoto_BA10_BPD,BPD,Human
ABCB1,0.22,0.48185,Iwamoto_BA10_BPD,BPD,Human
ABCB11,0.38,0.45510,Iwamoto_BA10_BPD,BPD,Human
ABCB4,-0.55,0.22316,Iwamoto_BA10_BPD,BPD,Human
ABCC2,0.59,0.30395,Iwamoto_BA10_BPD,BPD,Human
ABCC3,0.15,0.65823,Iwamoto_BA10_BPD,BPD,Human
ABCC4,0.49,0.29094,Iwamoto_BA10_BPD,BPD,Human
ABCD1,0.54,0.19951,Iwamoto_BA10_BPD,BPD,Human
ABCD3,0.29,0.07294,Iwamoto_BA10_BPD,BPD,Human
ABCG1,0.09,0.56043,Iwamoto_BA10_BPD,BPD,Human
ABCG2,-0.18,0.43096,Iwamoto_BA10_BPD,BPD,Human
ABL1,0.12,0.51934,Iwamoto_BA10_BPD,BPD,Human
ACAA1,-0.01,0.50237,Iwamoto_BA10_BPD,BPD,Human
ACAA2,0.16,0.41382,Iwamoto_BA10_BPD,BPD,Human
ACACA,-0.08,0.63026,Iwamoto_BA10_BPD,BPD,Human
ACACB,0.31,0.23331,Iwamoto_BA10_BPD,BPD,Human
ACADL,-0.29,0.47103,Iwamoto_BA10_BPD,BPD,Human
ACADM,0.03,0.88411,Iwamoto_BA10_BPD,BPD,Human
ACADS,0.09,0.56006,Iwamoto_BA10_BPD,BPD,Human
ACADVL,-0.08,0.52985,Iwamoto_BA10_BPD,BPD,Human
ACAT1,0.03,0.87569,Iwamoto_BA10_BPD,BPD,Human
ACLY,-0.05,0.61676,Iwamoto_BA10_BPD,BPD,Human
ACO1,0.02,0.89692,Iwamoto_BA10_BPD,BPD,Human
ACOT2,-0.11,0.55520,Iwamoto_BA10_BPD,BPD,Human
ACOX1,0.34,0.12112,Iwamoto_BA10_BPD,BPD,Human
ACSL1,0.18,0.33623,Iwamoto_BA10_BPD,BPD,Human
ACTB,0.04,0.37784,Iwamoto_BA10_BPD,BPD,Human
ACTC1,-0.06,0.71007,Iwamoto_BA10_BPD,BPD,Human
ACTN4,0.01,0.95595,Iwamoto_BA10_BPD,BPD,Human
ADA,-0.18,0.53746,Iwamoto_BA10_BPD,BPD,Human
ADAM10,0.46,0.26291,Iwamoto_BA10_BPD,BPD,Human
ADCY1,-0.08,0.71003,Iwamoto_BA10_BPD,BPD,Human
ADCY10,0.12,0.75673,Iwamoto_BA10_BPD,BPD,Human
ADCY2,0.00,0.98018,Iwamoto_BA10_BPD,BPD,Human
ADCY6,-0.13,0.20070,Iwamoto_BA10_BPD,BPD,Human
ADCYAP1,-0.07,0.69726,Iwamoto_BA10_BPD,BPD,Human
ADCYAP1R1,-0.59,0.22787,Iwamoto_BA10_BPD,BPD,Human
ADIPOQ,0.51,0.32304,Iwamoto_BA10_BPD,BPD,Human
ADORA1,-0.15,0.36448,Iwamoto_BA10_BPD,BPD,Human
ADORA2A,-0.44,0.11451,Iwamoto_BA10_BPD,BPD,Human
ADRA1A,0.19,0.49453,Iwamoto_BA10_BPD,BPD,Human
ADRA1D,-0.33,0.23724,Iwamoto_BA10_BPD,BPD,Human
ADRB1,0.06,0.88640,Iwamoto_BA10_BPD,BPD,Human
ADRB3,0.81,0.02303,Iwamoto_BA10_BPD,BPD,Human
