GeneID,logFC,logCPM,F,PValue,FDR,SYMBOL
23657,2.87630760177292,8.43246440189219,2089.28537392503,0,0,SLC7A11
3576,2.32589746179198,7.6302549048847,1286.11211652517,1.5542824254701488e-278,2.2066924735612388e-274,CXCL8
60412,4.05500730194533,5.01022511919097,1223.05346164052,3.9741582307405183e-265,3.7615407653958983e-261,EXOC4
29123,2.40223935948235,6.92979459639009,1205.99012208756,3.694309689761498e-260,2.6224980910194485e-256,ANKRD11
1649,3.01203342373301,5.77991709964961,1187.38228578653,1.5504436976788591e-257,8.804969759118245e-254,DDIT3
3676,-2.27696214629647,7.00580354645183,1113.6252859349,7.983361803297298e-242,3.7781259734104486e-238,ITGA4
26986,-1.9154529191092,9.56996050350909,1110.46073932377,3.773686209633639e-241,1.530768856036389e-237,PABPC1
22836,-1.88729667435156,9.5315913995748,1076.99139665686,5.172767683254957e-234,1.836009229575309e-230,RHOBTB3
9787,-3.05758836717222,5.55273143292959,1074.02295436083,2.222893075617249e-233,7.013227653572416e-230,DLGAP5
5269,-2.27745619572679,6.60530238867899,1009.94261512816,1.0572341193738696e-219,3.002016281962098e-216,SERPINB6
989,-2.2154032913615,6.77619726151761,1002.70119290189,3.7220266975913883e-218,9.607904370737045e-215,SEPTIN7
3162,2.10625646930677,7.11672292913101,989.743254738984,2.1818314201167888e-215,5.162758597851357e-212,HMOX1
55608,2.52646750504377,5.87934562884898,931.74211241519,5.456965752437337e-203,1.1919272503112194e-199,ANKRD10
79876,3.84966918032109,4.60105597587355,910.087276482353,2.340005181471249e-198,4.746031937705448e-195,UBA5
5795,1.89366686518326,7.74652874567435,898.699515853461,6.396760750392738e-196,1.2109068100493496e-192,PTPRJ
57552,2.02449982678886,6.95501684276092,891.300357297116,2.451894682529709e-194,4.351346844401939e-191,NCEH1
81688,1.87894974374737,7.618641779912,868.409219164292,1.9496773904402594e-189,3.2565346765618284e-186,C6orf62
11119,3.17177368111358,5.02491659539428,856.647239431759,6.437884361233487e-187,1.0155762579845796e-183,BTN3A1
1152,-2.85392115781209,5.33167562866582,855.900804280185,9.302676671122745e-187,1.3902605477712095e-183,CKB
29967,1.95343835579707,7.07080482298208,855.765082069331,9.946629164921736e-187,1.4121726756897596e-183,LRP12
92140,1.78107335136518,7.97727351340354,829.962963607517,3.3506547657378987e-181,4.5305639082441683e-178,MTDH
2670,-2.5277052261249,5.65330733069662,823.07394005166,1.0031880694454495e-179,1.2947966014501696e-176,GFAP
3475,1.93212474711243,6.97366752834378,821.637120731412,2.038465130990449e-179,2.5166181475858193e-176,IFRD1
1611,1.95884645086818,6.83051507441813,814.259460345249,7.771795076266157e-178,9.195005049607407e-175,DAP
1004,-1.84326727029507,7.27056879877006,792.004956128697,4.5872806509144386e-173,5.210233363308618e-170,CDH6
2135,3.61957297447927,4.43934511901317,764.379415515609,3.862429137902229e-167,4.218218283489758e-164,EXTL2
10381,-2.28203491405946,6.67917677499203,1019.32118582902,1.2545811030323996e-166,1.3194011266890696e-163,TUBB3
4087,1.8693214084157,6.89952479791196,759.3828014897,4.559315055864119e-166,4.623633964687908e-163,SMAD2
9145,-3.60366202835799,4.46789804734444,762.272919440429,9.893993862705386e-164,9.687584680397216e-161,SYNGR1
1287,1.85398802889811,6.68334815158228,709.774620305388,2.0326518851967494e-155,1.9239050093387297e-152,COL4A5
114803,1.89313583542019,6.51143446518316,707.574244812799,6.034530968506689e-155,5.5274357048628185e-152,MYSM1
10093,-1.86897183796409,6.59582630990543,703.327006918387,4.9305018084895084e-154,4.375049964126869e-151,ARPC4
5862,-1.99117059463766,6.24045274005935,700.984135129335,1.5708674703674897e-153,1.3516600551843897e-150,RAB2A
253260,1.89647499211356,6.44226018483748,694.516594382487,3.850214861845339e-152,3.215495617708769e-149,RICTOR
781,2.9940746565767,4.79819896149066,689.555526364565,4.480547625590739e-151,3.6350042808185385e-148,CACNA2D1
80329,3.41295473008655,4.39083823244871,682.557072641297,1.4291198084823497e-149,1.1272182489404597e-146,ULBP1
2048,-2.85644617643256,4.94673217069039,686.753244652163,1.9365363563505295e-149,1.4861608064479294e-146,EPHB2
2673,1.68882711225226,7.20128423119693,666.131099963107,4.844826797509478e-146,3.6202330767179396e-143,GFPT1
10526,-1.91682578499893,6.23087145566708,651.391932028805,7.143902156388019e-143,5.201310300785578e-140,IPO8
1793,1.82928695804013,6.43392879548448,647.640783275831,4.5762776708025985e-142,3.2485851115609995e-139,DOCK1
8073,-1.57620607780328,7.84534174141945,645.238354306316,1.5035476222708496e-141,1.0412984081556298e-138,PTP4A2
51232,1.46777524528258,9.0473098179515,642.547094562347,5.699801498282739e-141,3.853472941517579e-138,CRIM1
23306,2.19461713247297,5.60925385721694,631.063206867028,1.6817527385842695e-138,1.1105434653976796e-135,NEMP1
10611,1.56421980499793,7.7629151274096,628.71337080492,5.385471325949848e-138,3.475464961371499e-135,PDLIM5
64359,-2.17434706500193,5.6420287344849,628.204689581549,6.928619742525329e-138,4.371959057533479e-135,NXN
523,1.63802180074171,7.10432053699646,619.245917991873,5.860848995833428e-136,3.617800157319349e-133,ATP6V1A
374383,1.991221586722,5.89609857065119,615.494433506309,3.759460154056509e-135,2.2712738526475493e-132,NCR3LG1
8503,-1.66539316220112,6.93127209715438,615.289644701046,4.160919832242379e-135,2.4614441382608792e-132,PIK3R3
9076,2.36238538638457,5.30762951865489,615.078445475572,4.619901467526309e-135,2.677185758579789e-132,CLDN1
