GeneID,logFC,logCPM,F,PValue,FDR,SYMBOL
85416,-9.52620843614832,2.27968236736533,457.918757407306,5.15160637833311e-17,1.46279863112769e-12,ZIC5
3234,9.3757045254018,3.35281752835056,410.514861541719,1.96242911707878e-16,2.7861587389725996e-12,HOXD8
375295,8.70179240400373,4.10263037815399,387.298521425717,7.31689816431289e-16,6.925444112522149e-12,LINC01116
3232,9.15695618294745,1.69755173728736,334.868625560544,1.71809337554171e-15,1.2196315349626699e-11,HOXD3
8490,-7.05262295766579,8.14247896181605,308.604504623164,9.400706200731721e-15,4.7206149160261795e-11,RGS5
57460,-4.94752017102596,4.88908371335295,298.753211307379,9.974886246225431e-15,4.7206149160261795e-11,PPM1H
5834,-1.63559851622121,7.80896255392351,253.997210668176,3.59379933951251e-14,1.45779903207797e-10,PYGB
147495,10.8948688447704,5.2025442322968,276.886140692223,6.204137308088499e-14,2.20208098578966e-10,APCDD1
317761,-7.33895148932943,0.136475999920415,222.670555351072,1.4941150429797e-13,4.713932960600971e-10,C14orf39
2621,3.74351163286225,8.47217302768854,211.208741692696,2.6349540811439897e-13,6.88317551807912e-10,GAS6
5733,8.17439830345174,1.75515729398441,210.974218397489,2.66648813871704e-13,6.88317551807912e-10,PTGER3
55144,-2.11366357233992,5.3829296879946,196.478326893732,5.69892228077644e-13,1.34850748468873e-9,LRRC8D
54331,3.43947860343371,4.22063282609541,195.899334321433,6.22352403296059e-13,1.3593612685839702e-9,GNG2
5583,-4.42087306880987,3.46584107584742,192.571564154179,7.41804485124734e-13,1.4638910013846202e-9,PRKCH
84848,4.16864854368856,1.96565379524568,190.909194123618,7.73318014466257e-13,1.4638910013846202e-9,MIR503HG
401022,12.7609164433527,4.06847605150216,663.567872567778,8.785130308804979e-13,1.55908609449073e-9,HAGLR
100506394,3.74131754084874,3.13417163562484,175.584368100465,1.86988642287866e-12,3.1232602928023304e-9,GAS6-DT
10736,-6.78281917417464,6.01756646935696,195.115604272602,2.09667877693137e-12,3.3075107706092402e-9,SIX2
7915,-3.50297484806048,3.06365737287733,169.605810710728,2.68852732973416e-12,3.839773100766951e-9,ALDH5A1
3235,9.77493945044054,1.11160261498137,518.465206707791,2.7045417156308797e-12,3.839773100766951e-9,HOXD9
154091,-5.3558679011795,6.83534692188297,178.355707962762,4.1801499801760396e-12,5.652159937480891e-9,SLC2A12
10579,-2.233420437807,4.57332547381762,161.047712658351,4.6132880001120794e-12,5.7446062357506e-9,TACC2
6480,-5.30738286169463,5.71917174535533,176.712033588123,4.65314116648226e-12,5.7446062357506e-9,ST6GAL1
3717,-1.85066456130837,5.34923901942805,159.643862413583,5.05263258971641e-12,5.977895932708221e-9,JAK2
1368,4.70464836934253,2.91579877401643,158.163099004985,5.565710791164099e-12,6.09433479164518e-9,CPM
5452,5.30059536056293,3.77260450282722,167.580335920548,5.58030303161736e-12,6.09433479164518e-9,POU2F2
10857,1.37578267681293,7.71924391113368,156.733251000327,6.115151624747489e-12,6.431101125359451e-9,PGRMC1
