GeneID,logFC,logCPM,F,PValue,FDR,SYMBOL
7067,-1.39778466534859,6.0943063588875,125.013176617215,9.98163365243914e-11,2.44925085666565e-6,THRA
387921,0.602668645608438,5.51169113574696,113.107916866469,2.6180495532016503e-10,2.44925085666565e-6,NHLRC3
7411,-0.988331328498717,4.69135724076105,109.248495642968,3.64521748311646e-10,2.44925085666565e-6,VBP1
202052,-1.46942986874384,4.73759988017085,105.472915505826,5.08759027528685e-10,2.44925085666565e-6,DNAJC18
1955,-1.17087783091183,5.81052336684142,102.541915568459,6.63609191421694e-10,2.44925085666565e-6,MEGF9
9508,-2.28493516300379,3.93126428912268,99.5516127658262,8.759772341309191e-10,2.44925085666565e-6,ADAMTS3
25999,-1.62753053113483,5.51047739555811,98.921003384284,9.29611648166962e-10,2.44925085666565e-6,CLIP3
4482,-2.05415458480181,4.50276585800379,97.9387085406451,1.0204086790537801e-9,2.44925085666565e-6,MSRA
200933,-0.741485336607994,4.31940931679682,97.5350092425339,1.0604837406319e-9,2.44925085666565e-6,FBXO45
89853,-1.13564077633066,4.66401909919686,96.0227815213855,1.2265391173412302e-9,2.44925085666565e-6,MVB12B
4601,-0.926951365489019,5.66725596147261,95.6877317361087,1.2670362349283501e-9,2.44925085666565e-6,MXI1
26999,-1.45373747168955,6.24997110120179,95.3849955622141,1.3048807109779901e-9,2.44925085666565e-6,CYFIP2
1911,-0.861009363197989,5.25636017114559,94.6515205380222,1.4017694356707402e-9,2.44925085666565e-6,PHC1
112936,-0.643169551911386,5.54380756640124,94.2578093498313,1.45698319829909e-9,2.44925085666565e-6,VPS26B
987,0.932225777401723,7.54004390564457,93.9933271948094,1.4954004539386101e-9,2.44925085666565e-6,LRBA
55326,-1.41826223133858,5.91219657228429,93.839891017004,1.51819187891569e-9,2.44925085666565e-6,AGPAT5
196403,-0.907158663207664,5.11567576762347,93.7587555832105,1.53039627226059e-9,2.44925085666565e-6,DTX3
115294,0.642629163592745,6.49118294557929,93.6128328826552,1.5526154400416201e-9,2.44925085666565e-6,PCMTD1
41,-2.21691462067261,3.81955953135076,92.1982398556672,1.7871623212611802e-9,2.67086705853744e-6,ASIC1
6738,-0.817567378310863,6.96748273336599,91.0619215189313,2.0035403497494404e-9,2.84452641155677e-6,RO60
3300,-1.12059420091599,5.90472410917005,89.0308917012682,2.4647620006749404e-9,3.0242135761815e-6,DNAJB2
100507171,-1.19289548008319,3.09923012821107,88.8797346025824,2.5034413752227203e-9,3.0242135761815e-6,BOLA3-DT
11076,-2.33151776304864,4.26128242702007,88.7973083739994,2.5278797070304103e-9,3.0242135761815e-6,TPPP
10313,-1.18679125228446,7.32679570738481,88.6778932463893,2.55612346639747e-9,3.0242135761815e-6,RTN3
51660,-1.2427402568475,4.59361778536056,88.1104275541186,2.7108081030280802e-9,3.04204674938418e-6,MPC1
84892,-1.24032343935057,4.17563835674741,87.8490312825701,2.78546277457259e-9,3.04204674938418e-6,POMGNT2
9187,0.741148618348154,4.54048145115384,86.6109157464942,3.1707948265434804e-9,3.22022662863527e-6,SLC24A1
57142,-1.07474556266319,7.66915932837062,86.5970362530553,3.1754303786507403e-9,3.22022662863527e-6,RTN4
4591,-1.13269776358492,5.70321592898114,85.6064115942061,3.5261236791942604e-9,3.45256144381796e-6,TRIM37
57670,-1.56297216430409,5.49306366059454,85.1288568752852,3.7100533681854502e-9,3.51156551298753e-6,KIAA1549
23270,-0.754140359634983,5.43455205443091,84.1248353238465,4.13172858518458e-9,3.78453010246181e-6,TSPYL4
83591,-1.34688597883682,3.8312590425686,83.5259277418537,4.407900928915391e-9,3.89650083062803e-6,THAP2
23102,1.02529440158472,6.11865585418359,82.8386036252972,4.749836063455621e-9,3.89650083062803e-6,TBC1D2B
9939,-0.611606962033691,6.02703411280595,82.4707255222092,4.944623377844031e-9,3.89650083062803e-6,RBM8A
128153,-2.07415173929731,2.1119346982639,82.2542327569391,5.0633040148019e-9,3.89650083062803e-6,SPATA17
150946,-1.46303938555128,4.02735254058187,82.049099941475,5.178621315840291e-9,3.89650083062803e-6,GAREM2
58478,-0.850663970042066,5.22573651034586,81.8629985589392,5.2857149153567605e-9,3.89650083062803e-6,ENOPH1
7102,-2.2241524938223,5.25007334694003,82.2309456750715,5.34830653410701e-9,3.89650083062803e-6,TSPAN7
55785,1.17861989119347,5.85283102978856,81.5327706982051,5.48172673788295e-9,3.89650083062803e-6,FGD6
6844,-1.06944978267334,4.66506441551799,81.5207725912454,5.48899571139712e-9,3.89650083062803e-6,VAMP2
129881,-2.33561006317696,2.06732519293422,81.2753768762896,5.63999150780778e-9,3.90603802107809e-6,CFAP210
100873980,2.60280191215836,-0.647120273142014,80.7556027257604,5.974957628539481e-9,4.0360876604418e-6,RERG-AS1
9581,-0.927723932167672,6.72265496508609,80.5519455650178,6.11205386156004e-9,4.0360876604418e-6,PREPL
576,-2.12187569984357,5.7518231265385404,80.6664715949116,6.35289871926832e-9,4.09978543485509e-6,ADGRB2
27314,-1.65036680271916,5.60770875052638,79.5878364186797,6.80921078982164e-9,4.29661200837746e-6,RAB30
124930,-2.13889513170929,3.8367213794891,79.1135769793682,7.18351404303475e-9,4.42790440090621e-6,ANKRD13B
399959,-1.72621878763388,7.32234420286599,78.7692619414526,7.46927193288449e-9,4.42790440090621e-6,MIR100HG
643749,-1.29464730119316,4.43061257166865,78.608526098104,7.606886024942e-9,4.42790440090621e-6,TRAF3IP2-AS1
5991,-1.5132671948052001,6.39803968794645,78.569124089848,7.6410394662583e-9,4.42790440090621e-6,RFX3
