ID,gene_name,logFC,PValue,t,B
212893_at,ZZZ3,-0.0330575,0.6979814,-0.3935921,-4.93
229325_at,ZZZ3,0.02624431,0.7911125,0.2683799,-4.953
207189_s_at,ZZEF1,0.01437365,0.8652949,0.1717989,-4.965
207190_at,ZZEF1,-0.01666266,0.8736814,-0.1610023,-4.966
212601_at,ZZEF1,-0.00008521,0.9991562,-0.0010706,-4.973
200808_s_at,ZYX,0.07669659,0.366006,0.9246353,-4.742
215706_x_at,ZYX,0.01545994,0.8928404,0.1364089,-4.968
225338_at,ZYG11B,-0.03257676,0.8127056,-0.2400379,-4.957
227918_s_at,ZYG11B,-0.04017022,0.8965023,-0.1317185,-4.968
225350_s_at,ZYG11B,-0.00920768,0.9402556,-0.0758814,-4.971
231517_at,ZYG11A,0.0499824,0.6280541,0.4919109,-4.906
230106_at,ZXDC,-0.31131513,0.1764896,-1.4003598,-4.463
230209_at,ZXDC,0.15205092,0.1953529,1.339014,-4.504
234991_at,ZXDC,0.04866546,0.6534438,0.4556914,-4.916
235448_at,ZXDC,-0.02368017,0.755357,-0.3158238,-4.945
218639_s_at,ZXDC,-0.01115227,0.8890827,-0.1412252,-4.967
225964_at,ZXDC,0.01021775,0.906853,0.118477,-4.969
215263_at,ZXDB///ZXDA,0.2154152,0.0192458,2.542389,-3.513
216014_s_at,ZXDB///ZXDA,-0.12148723,0.206395,-1.3052472,-4.526
216013_at,ZXDB,-0.09257873,0.2634314,-1.1501657,-4.622
228005_at,ZXDB,0.00300865,0.9793328,0.0262261,-4.973
243521_at,ZXDA,-0.0542098,0.6085497,-0.5201939,-4.898
204026_s_at,ZWINT,-0.24775515,0.1946227,-1.3412992,-4.503
218349_s_at,ZWILCH,-0.22875365,0.2315805,-1.2331887,-4.572
222606_at,ZWILCH,-0.11785207,0.437411,-0.7921718,-4.802
204812_at,ZW10,-0.05472364,0.4887829,-0.7050489,-4.837
228330_at,ZUFSP,0.10399831,0.4042136,0.8518707,-4.776
210593_at,ZSWIM8///SAT1,0.05295733,0.498041,0.6899322,-4.843
214867_at,ZSWIM8-AS1///NDST2,0.04527193,0.7140889,0.3715293,-4.935
212359_s_at,ZSWIM8,-0.01922825,0.8377126,-0.2074637,-4.961
216345_at,ZSWIM8,-0.0142015,0.9051788,-0.1206172,-4.969
228719_at,ZSWIM7,-0.06942024,0.7176126,-0.3667282,-4.936
229119_s_at,ZSWIM7,-0.06752863,0.7741487,-0.2908036,-4.95
226208_at,ZSWIM6,0.06306611,0.6053859,0.5248218,-4.897
232336_at,ZSWIM5,0.03597259,0.7032592,0.3863415,-4.932
231915_at,ZSWIM4,0.01912756,0.7933491,0.2654342,-4.953
228223_at,ZSWIM3,-0.07586469,0.3266927,-1.0050465,-4.702
