ID,gene_name,logFC,PValue,t,B
212893_at,ZZZ3,-0.06184418,0.34877231,-0.9597972,-4.94044
229325_at,ZZZ3,-0.03645657,0.69375953,-0.3995784,-5.23181
207190_at,ZZEF1,-0.08419559,0.29441872,-1.0771244,-4.85177
212601_at,ZZEF1,-0.02420688,0.80093858,-0.2555564,-5.26888
207189_s_at,ZZEF1,0.00022735,0.99765613,0.0029751,-5.29466
200808_s_at,ZYX,0.18415699,0.08596866,1.8074246,-4.12176
215706_x_at,ZYX,0.16276522,0.11867267,1.6313648,-4.3226
225350_s_at,ZYG11B,-0.09121535,0.39977465,-0.860639,-5.00827
225338_at,ZYG11B,-0.02011682,0.84395865,-0.1994412,-5.27895
227918_s_at,ZYG11B,0.00702114,0.97509428,0.0316181,-5.29427
231517_at,ZYG11A,-0.08779936,0.29700947,-1.0711975,-4.85646
230106_at,ZXDC,0.3321009,0.03861461,2.2160626,-3.60883
225964_at,ZXDC,-0.13835499,0.06765781,-1.9334547,-3.96998
230209_at,ZXDC,0.13359951,0.16614044,1.4378798,-4.52642
235448_at,ZXDC,-0.11346287,0.20211989,-1.3194679,-4.6415
234991_at,ZXDC,0.08793565,0.41012109,0.8415555,-5.02056
218639_s_at,ZXDC,-0.00623335,0.92895718,-0.0903026,-5.29144
216014_s_at,ZXDB///ZXDA,0.05558033,0.43846924,0.79079,-5.05201
215263_at,ZXDB///ZXDA,0.01601783,0.89114434,0.1386343,-5.28706
228005_at,ZXDB,-0.10499825,0.21103954,-1.2927263,-4.66641
216013_at,ZXDB,0.10087997,0.25202038,1.1800299,-4.7668
243521_at,ZXDA,-0.08468457,0.3669298,-0.923448,-4.96607
204026_s_at,ZWINT,-0.30772609,0.08187475,-1.8334007,-4.091
222606_at,ZWILCH,-0.05195635,0.62179009,-0.5011799,-5.19606
218349_s_at,ZWILCH,-0.08725773,0.63709881,-0.4791511,-5.20448
204812_at,ZW10,0.00468424,0.97341019,0.0337569,-5.29421
228330_at,ZUFSP,-0.0835037,0.36129329,-0.9345986,-4.9583
210593_at,ZSWIM8///SAT1,0.05270145,0.59368155,0.5423046,-5.17937
214867_at,ZSWIM8-AS1///NDST2,0.07786574,0.39123755,0.8766275,-4.99779
216345_at,ZSWIM8,-0.13878442,0.22593139,-1.2499769,-4.70537
212359_s_at,ZSWIM8,-0.05619204,0.61298507,-0.5139646,-5.19101
229119_s_at,ZSWIM7,0.16285359,0.40731041,0.8467087,-5.01727
228719_at,ZSWIM7,0.07523355,0.63920778,0.4761354,-5.2056
226208_at,ZSWIM6,-0.07155136,0.56767569,-0.5812162,-5.16241
232336_at,ZSWIM5,0.05396631,0.59871008,0.5348795,-5.18248
