gene_name,logFC,logCPM,F,PValue
A1BG,0.539704822416981,0.4910051821618192,9.352235593579836,0.0038705667940610745
A1BG-AS1,-0.053196666661569074,1.6479589567012918,0.10065885512315043,0.7526155489966176
A2M,0.0202357663788868,7.621149594133596,0.0178064262853714,0.8944835055605278
A2M-AS1,0.04784143970777432,0.8069012327467843,0.08383046852667059,0.7735995631795254
A2ML1,-0.11313190900372502,3.0060838517234725,0.5698802641838059,0.454527729933884
A2MP1,0.35468079093551,0.20173781976687305,2.6126738512562637,0.1135161473738512
A4GALT,0.3361504801598891,2.1977912575987113,3.000439425361484,0.09059643015782379
AAAS,0.09711287076516234,4.623783191440347,1.0522845383191108,0.31086575034171304
AACS,0.08051266812326104,4.9262124371437395,0.5800156526106502,0.4505704755047457
AADAT,-0.08075336416345534,2.8936140101492667,0.9217479706518792,0.34252256607648235
AAGAB,-0.1686476783412104,4.414065861117484,2.1262760211383696,0.1522454678299105
AAK1,-0.051184786525605486,7.053066247354466,0.19343134891311914,0.6623355756080558
AAMDC,0.44748600533541,0.507446569275108,8.923689671584953,0.004688712043607236
AAMP,-0.1448219139643219,6.273982152528038,2.8483793769914802,0.09889537053884846
AANAT,0.2526129586771083,-0.2302669606405165,0.744230146293425,0.3932187738058244
AAR2,-0.08288700934944722,4.065680852696035,1.5259475414480828,0.22360150369978826
AARD,-0.030725903052864816,1.0018329066370035,0.02149851181679886,0.8841320397174842
AARS1,-0.2541443325333833,7.978536854205639,4.5359786725986275,0.03910542526089211
AARS2,0.027644812336472074,4.460641876714031,0.09994953491321062,0.7534593295886194
AARSD1,0.5730501525933163,1.2446635636224823,11.009463878316843,0.001881407155016458
AASDH,0.47106211546257915,3.730751792392299,8.695553023234801,0.005197496924281226
AASDHPPT,-0.2248119186173407,5.646450227950513,2.3604372720918816,0.13196291821121764
AASS,0.1420083065343685,3.6259848394944543,0.8289556220063636,0.36778136607091105
AATBC,0.041501229724065294,3.119206033378339,0.050236395282712926,0.8237414716709974
AATK,-0.3540681540895488,8.970294662625262,1.970294724088725,0.1677828132900306
ABAT,-0.18291378480162407,8.448334830947598,1.0424774489187378,0.31310349099979634
ABCA1,-0.21344635993662536,6.033465859948337,1.372090007449703,0.2480694175451505
ABCA10,0.4888112935298377,1.1336025869747128,5.542807894300275,0.023318425410069055
ABCA11P,0.28143485759118114,0.5122929004165576,2.8892678024662044,0.09658253843873241
ABCA12,0.5639933039277091,-0.8459366547575979,2.7898882992194847,0.10231350439434943
ABCA13,0.4349498135018518,0.06112712871504865,1.3097037020409994,0.25894206467901354
ABCA17P,0.4113430827825269,2.4788836553698768,7.99709868490348,0.0071550400996156505
ABCA2,-0.2085475384706477,10.851468525691685,0.9505538569614174,0.3351721728070751
ABCA3,-0.0648827156941665,7.70897479661848,0.1776101335746434,0.6755887651770832
ABCA4,0.17348560474991587,0.2142436917677518,0.7366538985555646,0.39561676149168423
ABCA5,0.1442300061750797,4.681317468872285,2.789493403970471,0.10233703132928597
ABCA6,0.9528795942849237,2.49364125895584,8.641932736464556,0.005325396253057964
ABCA7,0.12574467506754017,5.097227193946482,0.8426977693771946,0.36387903854147585
ABCA8,0.25538203715083074,5.395491954161914,0.7218202213820768,0.40037458183876995
ABCA9,0.29652724199799474,2.727350436267944,3.2842406566354816,0.07711598381818462
ABCB1,0.27062804092156983,4.6344802389786715,2.2120620469139176,0.1444206972318701
ABCB10,-0.05147342388904272,3.1491121398416198,0.6775850317361638,0.41507875914186965
ABCB4,0.5494449254401623,-0.2878094831425293,5.19617854195432,0.027791902912742097
ABCB6,0.21579258720197794,2.086285758074602,1.8643082861931968,0.17941232615349725
ABCB7,-0.00231890615196875,3.3494216667013115,5.925390141306231e-4,0.9806952407992624
