Name_GeneSymbol,LFC
SRC,0.06049949552612848
XPO7,-0.1608350737209738
PIN1,-0.1084814020391646
NGRN,-0.2112662159274724
CSRP1,0.330391850350065
FCHO1,0.1539120689428211
SLC35F2,-0.08233775207785338
AMDHD2,0.01632781646783631
PPP2R3C,0.04302509850256478
PNP,0.3894649433144298
DUSP22,-0.10351908837019289
SLC25A46,-0.3015320112718986
CAMSAP2,-0.2170214203316916
ZNF589,-0.01737041650473062
SMNDC1,0.0234008137624578
MAN2B1,0.2146036935536346
FHL2,-0.1593942244851831
HYOU1,-0.2437388119963263
MBOAT7,-0.03969748852815355
MKNK1,0.20936912796427035
ICAM3,0.01372291553449781
P4HTM,-0.08846912250848263
CBLB,0.11159979764464407
NFE2L2,0.37490695724893647
RAB11FIP2,-0.1666350691969131
SLC35A1,0.3256167077947226
GNAI1,-0.15243327012436703
HPRT1,-0.2527384554880824
PLCB3,0.5852748225841384
ALDH7A1,0.43457299170388064
EPN2,0.129665785540139
APP,-0.2590737565459643
SMARCA4,0.02835249951215012
TIMM22,0.02647120045786401
TIMP2,-0.17267158924302103
PLA2G15,-0.03155646728347525
RPA3,-0.2386780630661171
NR2F6,0.1560705686470582
YTHDF1,0.01613744046325161
PPP1R13B,0.03630357365838276
KLHL9,-0.21801386933482345
COG7,0.1902265582668672
TIMM9,0.04693901292768365
HS2ST1,-0.1031801295340069
HIST2H2BE,0.10939368504936844
GOLT1B,-0.1253281556791698
HADH,0.07769275402924243
SSBP2,-0.19629490659887305
VPS28,0.11720643009679292
RPN1,-0.08928274790215676
MAST2,-0.01331303367226775
WRB,-0.08218434093607149
SUPV3L1,-0.01763078308377172
NMT1,-0.03503147251887128
CCNA2,0.5713671095584139
PIK3R3,-0.08462726817618081
ABL1,0.25198653443269414
TOPBP1,-0.26240655988825207
IFNAR1,-0.07532350868505315
CDC20,0.34917492619794127
MEST,-0.10029407558212793
LSM5,0.14109443581158565
CDK4,0.12416502693692862
S100A4,0.46984237960125663
YKT6,0.0867875419345304
HLA-DMA,0.14160928045639612
PHKG2,0.10261716384631264
PPARD,0.19697458781631697
DNAJA3,-0.05978073919978956
CASP3,0.1259254587595589
NUDT9,-0.01851586288164323
CTSD,0.01405604865571174
TMEM2,-0.00777336036058891
WDTC1,0.03605877791016244
MOK,0.16435091702331275
EAPP,-0.08385818885930969
FAH,0.303483548935205
KIAA0100,-0.2305540920427012
CETN3,0.2284104760843194
HMGCS1,-0.3768223560939039
CDC42,-0.2313474741941764
GLRX,0.15432592031426612
MFSD10,0.20206558713064116
